date,Close,High,Low,Open,Volume,aVWAP_peak_17,Peaks_Valleys_avg,Peaks_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,9.79,9.79,9.74,9.75,103724,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,103724.0,False,False,False,False
2022-01-07 00:00:00+00:00,9.8,9.81,9.76,9.78,48798,,,,#000000,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,48798,3614.6666666666665,False,False,False,False,99655.40740740742,False,False,False,False
2022-01-14 00:00:00+00:00,9.78,9.79,9.765,9.78,11734,,,,#000000,,,,80.51948051948108,-37.66233766233515,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,37064,6092.395061728395,False,False,False,False,93142.71056241427,False,False,False,False
2022-01-21 00:00:00+00:00,9.75,9.78,9.74,9.78,127636,,,,#000000,,,,61.85163735235754,-37.66233766233515,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-90572,-1067.9304983996335,False,False,False,False,95697.76903927248,False,False,False,False
2022-01-28 00:00:00+00:00,9.752,9.76,9.74,9.74,22902,,,,#000000,,9.750666666666667,,49.38992360428257,-37.66233766233515,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-67670,-6001.417128147808,False,False,False,False,90305.48985117821,False,False,False,False
2022-02-04 00:00:00+00:00,9.74,9.79,9.74,9.762,102786,,,,#000000,,9.75612002736936,,39.50948123298272,-37.66233766233515,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-170456,-18183.238081618343,False,False,False,False,91229.97208442427,False,False,False,False
2022-02-11 00:00:00+00:00,9.76,9.7799,9.74,9.74,149909,,,,#000000,,9.758851369484482,,38.568294686709045,-37.66233766233515,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-20547,-18358.33155705402,False,False,False,False,95576.56674483728,False,False,False,False
2022-02-18 00:00:00+00:00,9.7724,9.78,9.75,9.76,34899,,,,#000000,,9.760037193393556,,40.502888869995544,-37.66233766233515,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,14352,-15935.344034309279,False,False,False,False,91081.93217114563,False,False,False,False
2022-02-25 00:00:00+00:00,9.755,9.78,9.74,9.75,3645,,,,#000000,,9.75959018975121,,39.59191490668888,-37.66233766233515,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,10707,-13961.837068804887,False,False,False,False,84605.1223806904,False,False,False,False
2022-03-04 00:00:00+00:00,9.78,9.81,9.75,9.76,471611,,,,#000000,,9.774589402201912,,42.77625671349753,-37.66233766233515,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,0.24022966860870235,0.24022966860870235,False,False,False,False,482318,22799.632343699173,False,False,False,False,113272.22442656518,False,False,False,False
