date,Close,High,Low,Open,Volume,aVWAP_peak_355,aVWAP_valley_352,aVWAP_valley_314,aVWAP_valley_285,aVWAP_valley_220,aVWAP_valley_161,aVWAP_valley_148,aVWAP_valley_116,aVWAP_valley_26,aVWAP_OB_bull_220,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-05-22 00:00:00+00:00,9.6215038881,9.6310585096,9.6215038881,9.6310585096,7150,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,7150.0,False,False,False,False
2024-05-23 00:00:00+00:00,9.6453904419,9.6979408604,9.6453904419,9.6979408604,1231,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,-1.0,9.697941,9.6453905,10.0,0,,,False,False,False,False,,,False,False,False,False,1231,48.27450980392157,False,False,False,False,6917.882352941177,False,False,False,False
2024-05-24 00:00:00+00:00,9.6358358204,9.6358358204,9.6358358204,9.6358358204,88,,,,,,,,,,,,,#000000,,,,89.81481482962084,9.259259318483373,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1143,91.20492118415993,False,False,False,False,6650.0438292964245,False,False,False,False
2024-05-28 00:00:00+00:00,9.6358358204,9.6358358204,9.6358358204,9.6358358204,17,,,,,,,,,,,,,#000000,,,,83.0246913827014,9.259259318483373,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1143,132.45178702007522,False,False,False,False,6389.924463441664,False,False,False,False
2024-05-29 00:00:00+00:00,9.6167265773,9.6167265773,9.6167265773,9.6167265773,35,,,,,,,,,,,,,#000000,,,,68.6575766334073,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1108,170.70857968595462,False,False,False,False,6140.711739385128,False,False,False,False
2024-05-30 00:00:00+00:00,9.6501677527,9.6501677527,9.6310585096,9.6310585096,100,,,,,,,,,,,,,#000000,,,,68.09186424678452,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1208,211.38667460023092,False,False,False,False,5903.821082938653,False,False,False,False
2024-05-31 00:00:00+00:00,9.6287654004,9.6287654004,9.6287654004,9.6287654004,1,,,,,,,,,,,,,#000000,,,,62.344477700845204,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1207,250.43033441982973,False,False,False,False,5672.337903215568,False,False,False,False
2024-06-03 00:00:00+00:00,9.6788316173,9.6788316173,9.6692769958,9.6692769958,20004,,,,,,,,,,,,,#000000,,,,64.77757610767158,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,21211,1072.4134585602285,False,False,False,False,6234.3638677953495,False,False,False,False
2024-06-04 00:00:00+00:00,9.6788316173,9.6788316173,9.6788316173,9.6788316173,17,,,,,,,,,,,,,#000000,,,,66.39964171222249,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,21211,1862.161950381396,False,False,False,False,5990.5456769014145,False,False,False,False
2024-06-05 00:00:00+00:00,9.6931635496,9.6931635496,9.6788316173,9.6788316173,44129,,,,,,,,,,,,,#000000,,,,68.66446604762812,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,65340,4351.4889327193805,False,False,False,False,7486.17133663077,False,False,False,False
2024-06-06 00:00:00+00:00,9.7074954819,9.7074954819,9.7074954819,9.7074954819,2,,,,,,,,,,,,,#000000,,,,71.1928560622986,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,65342,6743.273680455875,False,False,False,False,7192.67442146878,False,False,False,False
2024-06-07 00:00:00+00:00,9.6788316173,9.6788316173,9.6788316173,9.6788316173,49,,,,,,,,,,,,,#000000,,,,67.78260145463109,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,65293,9039.341379261528,False,False,False,False,6912.53032650922,False,False,False,False
2024-06-10 00:00:00+00:00,9.6931635496,9.6931635496,9.6931635496,9.6931635496,15,,,,,,,,,,,,,#000000,,,,66.80150383586427,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,65308,11245.9554428199,False,False,False,False,6642.038941155917,False,False,False,False
2024-06-11 00:00:00+00:00,9.6931635496,9.6931635496,9.6931635496,9.6931635496,14,,,,,,,,,,,,,#000000,,,,66.14743875668638,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,65308,13366.035621532847,False,False,False,False,6382.115845424313,False,False,False,False
2024-06-12 00:00:00+00:00,9.7313820358,9.7313820358,9.7313820358,9.7313820358,14,,,,,,,,,,,,,#000000,,,,68.55582480649893,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,65322,15403.524420688422,False,False,False,False,6132.38581227042,False,False,False,False
2024-06-13 00:00:00+00:00,9.7504912788,9.7504912788,9.7504912788,9.7504912788,0,,,,,,,,,,,,,#000000,,,,71.20665244313015,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,65322,17361.111698308483,False,False,False,False,5891.900094142168,False,False,False,False
2024-06-14 00:00:00+00:00,9.7361593465,9.7361593465,9.7361593465,9.7361593465,2,,,,,,,,,,,,,#000000,,9.7361593465,,70.7155749437476,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,65320,19241.852416021877,False,False,False,False,5660.923619862083,False,False,False,False
2024-06-17 00:00:00+00:00,9.7313820358,9.7313820358,9.7313820358,9.7313820358,4,,,,,,,,,,,,,#000000,,9.732974472699999,,69.657206150793,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,65316,21048.681733040627,False,False,False,False,5439.083477906707,False,False,False,False
2024-06-18 00:00:00+00:00,9.7504912788,9.7504912788,9.7504912788,9.7504912788,10,,,,,,,,,,,,,#000000,,9.74720687765625,,70.26678642775408,9.259259318483373,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,65326,22785.047155274326,False,False,False,False,5226.178243478993,False,False,False,False
