date,Close,High,Low,Open,Volume,aVWAP_peak_116,aVWAP_peak_104,aVWAP_peak_84,aVWAP_peak_56,aVWAP_peak_26,aVWAP_valley_170,aVWAP_valley_154,aVWAP_valley_111,aVWAP_valley_98,aVWAP_valley_97,aVWAP_valley_63,aVWAP_valley_45,aVWAP_OB_bull_120,aVWAP_OB_bull_63,aVWAP_OB_bear_26,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,7.2493401802,7.3242689706,7.1559836157,7.2655761044,33460,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,33460.0,False,False,False,False
2022-01-07 00:00:00+00:00,7.2087503695,7.298047953,7.2006324074,7.2655761044,31786,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-31786,-2354.5185185185182,False,False,False,False,33336.0,False,False,False,False
2022-01-14 00:00:00+00:00,7.2818120287,7.3142838772,7.2087503695,7.2087503695,43423,,,,,,,,,,,,,,,,,,,#000000,,,,18.8153310051768,-97.038327512942,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,11637,-1318.1097393689984,False,False,False,False,34083.18518518518,False,False,False,False
2022-01-21 00:00:00+00:00,7.1925144453,7.2815684898,7.1356887104,7.2740999647,43170,,,,,,,,,,,,,,,,,,,#000000,,,,23.54242205498084,-91.54078584057851,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-31533,-3556.2497586749987,False,False,False,False,34756.282578875165,False,False,False,False
2022-01-28 00:00:00+00:00,7.0220372406,7.1194527861,6.7866163389,7.1032168619,114540,,,,,,,,,,,,,,,,,,,#000000,,6.976035455200001,,22.004581693583646,-91.54078584057851,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-146073,-14113.046072847219,False,False,False,False,40666.18757303256,False,False,False,False
2022-02-04 00:00:00+00:00,7.046391127,7.199008815,6.9895653921,7.0707450134,67943,,,,,,,,,,,,,,,,,,,#000000,,7.014119219891863,,22.52641874445783,-88.90367570257584,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-78130,-18855.04266004372,False,False,False,False,42686.69219725238,False,False,False,False
2022-02-11 00:00:00+00:00,7.0301552027,7.1925144453,6.9652115057,6.9652115057,60063,,,,,,,,,,,,,,,,,,,#000000,,7.026131480963423,,22.57804348281389,-86.26393173372006,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-138193,-27694.891351892333,False,False,False,False,43973.82610856702,False,False,False,False
2022-02-18 00:00:00+00:00,6.8759139223,7.1032168619,6.8759139223,7.046391127,63777,,,,,,,,,,,,,,,,,,,#000000,,7.010630875243577,,20.510676552157356,-85.54342314478717,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-201970,-40604.15865915956,False,False,False,False,45440.72787830279,False,False,False,False
2022-02-25 00:00:00+00:00,6.8353241117,6.9895653921,6.7622624525,6.8759139223,171734,,,,,,,,,,,,,,,,,,,#000000,,6.909879819640701,,18.666704316081013,-84.47792511007353,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-373704,-65278.22098070329,False,False,False,False,54795.78507250258,False,False,False,False
2022-03-04 00:00:00+00:00,6.9327396572,7.0866562191,6.8353241117,6.8353241117,45931,,,,,,,,,,,,,,,,,,,#000000,,6.919035744412498,,21.702271993026628,-78.55041702960364,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.1865163829506352,-0.1865163829506352,False,False,False,False,-327773,-84722.27868583638,False,False,False,False,54139.13432639128,False,False,False,False
