date,Close,High,Low,Open,Volume,aVWAP_peak_191,aVWAP_valley_171,aVWAP_valley_158,aVWAP_valley_136,aVWAP_valley_126,aVWAP_valley_121,aVWAP_valley_115,aVWAP_valley_95,aVWAP_valley_85,aVWAP_valley_74,aVWAP_valley_63,aVWAP_valley_52,aVWAP_valley_39,aVWAP_OB_bull_171,aVWAP_OB_bull_126,aVWAP_OB_bull_39,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,62.9123019326,63.3824411418,61.0797184846,61.7033725376,3115436,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3115436.0,False,False,False,False
2022-01-07 00:00:00+00:00,60.9453929962,64.2747461715,59.3047031029,63.2864943645,3934204,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3934204,-291422.5185185185,False,False,False,False,3176085.481481482,False,False,False,False
2022-01-14 00:00:00+00:00,58.2300991962,61.8952660923,57.2130633559,60.3601176542,4029517,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7963721,-859740.9245541837,False,False,False,False,3239302.631001372,False,False,False,False
2022-01-21 00:00:00+00:00,54.1523611572,58.4315874287,53.7501522664,57.6448238541,3693530,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11657251,-1659556.485698318,False,False,False,False,3272949.102779048,False,False,False,False
2022-01-28 00:00:00+00:00,56.4934625255,59.410244558,52.3869404533,52.9242424067,6011369,,,,,,,,,,,,,,,,,,,#000000,,56.09688251226666,,6.6151140295232995,-43.74665001896626,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5645882,-1954839.8571280725,False,False,False,False,3475795.021091711,False,False,False,False
2022-02-04 00:00:00+00:00,60.8494462188,61.3483694612,55.3900745855,56.1672434823,7223799,,,,,,,,,,,,,,,,,,,#000000,,57.78837124708641,,18.2740604921699,-32.996625227362806,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1577917,-1693154.1640074747,False,False,False,False,3753424.9454552876,False,False,False,False
2022-02-11 00:00:00+00:00,66.7501730281,69.7724965158,61.1180971955,61.1180971955,8700302,,,,,,,,,,,,,,,,,,,#000000,,63.43906219347109,,31.32334726750636,-21.337010012577277,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10278219,-806385.7814884025,False,False,False,False,4119860.28282897,False,False,False,False
2022-02-18 00:00:00+00:00,65.6371904104,68.5875538151,64.955968291,67.1051761045,6146838,,,,,,,,,,,,,,,,,,,#000000,,64.13584371756457,,39.55310857074795,-14.579712986652204,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4131381,-440625.27915592823,False,False,False,False,4270006.780397194,False,False,False,False
2022-02-25 00:00:00+00:00,67.6232887023,67.6808567688,60.9262036407,64.5913705369,4866098,,,,,,,,,,,,,,,,,,,#000000,,64.29019439781894,,46.59902179101708,-8.981903271102631,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8997479,258493.55633710342,False,False,False,False,4314161.6855529575,False,False,False,False
2022-03-04 00:00:00+00:00,64.332314238,69.0816797186,62.8931125772,66.6254422175,7101461,,,,,,,,,,,,,,,,,,,#000000,,64.4719314455405,,48.80754970587432,-7.915656518294433,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.2902763448592488,0.2902763448592488,False,False,False,False,1896018,379791.66327509575,False,False,False,False,4520628.301437924,False,False,False,False
2022-03-11 00:00:00+00:00,61.6170204379,64.5721811814,56.9060336682,64.5721811814,7593794,,,,,,,,,,,,,,,,,,,#000000,,62.86231527836103,,48.52575076647532,-7.915656518294433,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.03619714018159871,0.12703960233882505,False,False,False,False,-5697776,-70398.53400454094,False,False,False,False,4748270.205035115,False,False,False,False
2022-03-18 00:00:00+00:00,66.2464984277,66.4003811186,59.5333660377,61.7742827238,5326102,,,,,,,,,,,,,,,,,,,#000000,,63.28975344963599,,51.00091382954537,-7.126212422026597,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.09936957407413989,0.11320458820648246,False,False,False,False,-371674,-92715.23518938976,False,False,False,False,4791072.560217698,False,False,False,False
