date,Open,High,Low,Close,Volume,aVWAP_peak_858,aVWAP_peak_841,aVWAP_peak_815,aVWAP_valley_849,aVWAP_valley_829,aVWAP_valley_803,aVWAP_valley_753,aVWAP_valley_725,aVWAP_valley_724,aVWAP_valley_704,aVWAP_valley_703,aVWAP_valley_670,aVWAP_valley_643,aVWAP_valley_576,aVWAP_valley_554,aVWAP_valley_521,aVWAP_valley_520,aVWAP_valley_498,aVWAP_OB_bull_753,aVWAP_OB_bull_725,aVWAP_OB_bull_643,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-08 14:00:00+00:00,2.585,2.595,2.485,2.49,14741.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,14741.0,False,False,False,False
2025-04-08 15:00:00+00:00,2.485,2.505,2.45,2.465,18579.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18579.0,-288.04651162790697,False,False,False,False,14800.50387596899,False,False,False,False
2025-04-08 16:00:00+00:00,2.465,2.465,2.36,2.375,27277.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-45856.0,-994.5264106724355,False,False,False,False,14993.93792440358,False,False,False,False
2025-04-08 17:00:00+00:00,2.375,2.4,2.35,2.395,3194.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,5.567010309278349,-44.98969072164949,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-42662.0,-1640.5337531426303,False,False,False,False,14810.99315038182,False,False,False,False
2025-04-08 18:00:00+00:00,2.395,2.41,2.36,2.36,9057.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,7.900837369546856,-43.22326698596453,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-51719.0,-2416.944082551272,False,False,False,False,14721.783954251869,False,False,False,False
2025-04-08 19:00:00+00:00,2.365,2.365,2.315,2.34,25396.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,8.88175834955727,-42.658612057468176,False,False,False,True,True,,1.0,2.365,2.315,0.0,0,,,False,False,False,False,,,False,False,False,False,-77115.0,-3575.0534766202445,False,False,False,False,14887.275675891373,False,False,False,False
2025-04-09 14:00:00+00:00,2.415,2.445,2.355,2.355,12766.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,12.619880061114948,-39.499097973754246,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-64349.0,-4517.285205664892,False,False,False,False,14854.387680916312,False,False,False,False
2025-04-09 15:00:00+00:00,2.355,2.405,2.34,2.365,20291.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,17.035334882910718,-35.81073839456329,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-44058.0,-5130.31954356156,False,False,False,False,14938.676244002882,False,False,False,False
2025-04-09 16:00:00+00:00,2.365,2.435,2.365,2.415,4558.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,27.117148974287065,-27.088603736492686,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-39500.0,-5663.182806452078,False,False,False,False,14777.735527041596,False,False,False,False
2025-04-09 17:00:00+00:00,2.415,2.67,2.405,2.65,43873.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,44.458313202792596,-12.183520659722205,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4373.0,-5507.583073018713,False,False,False,False,15228.82489871537,False,False,False,False
2025-04-09 18:00:00+00:00,2.65,2.69,2.625,2.665,53209.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,56.30827805533894,-2.8119708750403305,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,57582.0,-4529.450002119198,False,False,False,False,15817.664822766294,False,False,False,False
2025-04-09 19:00:00+00:00,2.665,2.745,2.65,2.71,147705.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,2.701666666666667,,65.02853054170193,3.8148806764682632,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,205287.0,-1276.4817850320787,False,False,False,False,17862.42970923503,False,False,False,False
2025-04-10 14:00:00+00:00,2.585,2.615,2.545,2.55,58055.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,2.6645170344090205,,61.77253265927111,3.8148806764682632,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,147232.0,1025.975296906403,False,False,False,False,18485.570333898053,False,False,False,False
2025-04-10 15:00:00+00:00,2.555,2.555,2.485,2.485,46802.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,2.6355747961556637,,57.188302256831655,3.8148806764682632,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,100430.0,2567.1229667218076,False,False,False,False,18924.58474732599,False,False,False,False
2025-04-10 16:00:00+00:00,2.485,2.555,2.465,2.54,4575.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,2.6335184810691064,,56.05362716986765,3.8148806764682632,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,105005.0,4155.307106772632,False,False,False,False,18702.110565196905,False,False,False,False
2025-04-10 17:00:00+00:00,2.535,2.58,2.505,2.57,22797.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,2.6268527105198607,,56.27871496085616,3.8148806764682632,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,127802.0,6072.3100973653045,False,False,False,False,18765.597223100827,False,False,False,False
