date,Close,High,Low,Open,Volume,aVWAP_peak_193,aVWAP_peak_186,aVWAP_peak_176,aVWAP_peak_153,aVWAP_peak_133,aVWAP_peak_117,aVWAP_valley_188,aVWAP_valley_173,aVWAP_valley_141,aVWAP_valley_137,aVWAP_valley_128,aVWAP_valley_120,aVWAP_valley_114,aVWAP_valley_95,aVWAP_valley_85,aVWAP_valley_79,aVWAP_valley_71,aVWAP_valley_64,aVWAP_valley_63,aVWAP_valley_50,aVWAP_valley_41,aVWAP_OB_bull_41,aVWAP_OB_bear_153,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,254.7734431987,259.1125668022,252.462388236,256.231251524,149675,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,149675.0,False,False,False,False
2022-01-07 00:00:00+00:00,248.6935249481,259.7514298624,239.046263972,257.2688680379,320654,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-320654,-23752.148148148146,False,False,False,False,162340.11111111112,False,False,False,False
2022-01-14 00:00:00+00:00,243.7970040438,253.3242102166,236.9624556012,248.0417988732,246649,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-567303,-64015.17421124828,False,False,False,False,168585.21399176956,False,False,False,False
2022-01-21 00:00:00+00:00,224.2537971421,245.057579478,224.0281798654,241.3530312632,347084,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-914387,-127005.67982522989,False,False,False,False,181807.34628867553,False,False,False,False
2022-01-28 00:00:00+00:00,213.8303942332,226.2432767389,206.1775714571,219.3401255516,378031,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,215.41708080973328,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1292418,-213332.51835669432,False,False,False,False,196342.43174877364,False,False,False,False
2022-02-04 00:00:00+00:00,232.5181215537,235.5637206968,213.5715614449,213.5715614449,363938,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,221.20536925435312,,9.881236825870587,-40.65914331304421,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-928480,-266306.4058858281,False,False,False,False,208756.9182859015,False,False,False,False
2022-02-11 00:00:00+00:00,221.0777123076,234.2868122742,219.6368764524,231.241213131,268702,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,222.2143527489958,,15.112216852475614,-36.11951761083024,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1197182,-335260.15359798894,False,False,False,False,213197.29470916808,False,False,False,False
2022-02-18 00:00:00+00:00,217.7905358953,228.4113079782,215.1504414539,220.9569236731,200506,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,221.9223966008262,,18.414858944454195,-33.50756106187949,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1397688,-413958.5125907305,False,False,False,False,212257.19880478526,False,False,False,False
2022-02-25 00:00:00+00:00,214.1841323773,220.2710167839,198.5592597193,217.0226652898,217597,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,220.2596874365871,,20.32018319941203,-32.20520253339639,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1615285,-502945.65980623197,False,False,False,False,212652.73963406042,False,False,False,False
2022-03-04 00:00:00+00:00,190.1385663376,212.8813406759,187.9384876365,211.4146215418,316750,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,216.03637178634312,,19.542546839208875,-32.20520253339639,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-1932035,-608804.1294502148,False,False,False,False,220363.64780931518,False,False,False,False
