date,Close,High,Low,Open,Volume,aVWAP_peak_181,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_156,aVWAP_valley_149,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_128,aVWAP_valley_122,aVWAP_valley_107,aVWAP_valley_102,aVWAP_valley_97,aVWAP_valley_70,aVWAP_valley_63,aVWAP_valley_53,aVWAP_valley_39,aVWAP_valley_28,aVWAP_OB_bull_171,aVWAP_OB_bull_102,aVWAP_OB_bull_63,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,32.7350571076,33.2791300789,31.6831826964,32.0549658935,984947,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,984947.0,False,False,False,False
2022-01-07 00:00:00+00:00,34.8932132272,34.9566884072,32.8166680533,32.8166680533,2294856,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2294856,169989.3333333333,False,False,False,False,1081977.2962962962,False,False,False,False
2022-01-14 00:00:00+00:00,36.7974686268,36.9606905182,34.3310044901,34.9929599386,2183867,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4478723,489154.79012345674,False,False,False,False,1163598.7558299038,False,False,False,False
2022-01-21 00:00:00+00:00,36.4619569611,38.5203663693,36.0901737641,37.5047634895,1992162,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,97.59917290391064,47.73046813572803,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2486561,637110.8056698674,False,False,False,False,1224973.8109536145,False,False,False,False
2022-01-28 00:00:00+00:00,36.9153511039,38.3118050636,34.7390592186,35.1289781814,3179181,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,96.14470704045115,46.45401479803952,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5665742,1009602.0052498772,False,False,False,False,1369729.8990311245,False,False,False,False
2022-02-04 00:00:00+00:00,39.0009641606,40.2069925804,36.6433146182,36.9334868696,2917971,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,95.85143647239742,46.30824037050732,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8583713,1570647.2641202565,False,False,False,False,1484414.4250288191,False,False,False,False
2022-02-11 00:00:00+00:00,40.7601334345,41.104712983,38.5929094321,39.0644393406,2533190,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,95.97592493858443,46.30824037050732,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11116903,2277777.318629867,False,False,False,False,1562101.504656314,False,False,False,False
2022-02-18 00:00:00+00:00,39.3818152405,40.7470756832,38.7107919092,40.6603867231,2127744,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,91.46059648739431,42.3542398349492,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8989159,2774916.702435062,False,False,False,False,1604000.9487558464,False,False,False,False
2022-02-25 00:00:00+00:00,39.7626663205,40.479029066,38.3027371808,40.479029066,1329646,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,88.50280406031956,39.79248652617153,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10318805,3333723.2429954275,False,False,False,False,1583678.3599591171,False,False,False,False
2022-03-04 00:00:00+00:00,42.0649330603,42.1652613916,39.5087656005,39.8352093833,2486669,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,87.65403372972008,39.27319948444398,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428282455514606,0.3428282455514606,False,False,False,False,12805474,4035334.4101809515,False,False,False,False,1650566.555517701,False,False,False,False
