date,Close,High,Low,Open,Volume,aVWAP_peak_887,aVWAP_peak_878,aVWAP_peak_860,aVWAP_peak_852,aVWAP_peak_845,aVWAP_peak_808,aVWAP_peak_792,aVWAP_peak_778,aVWAP_peak_765,aVWAP_peak_755,aVWAP_peak_728,aVWAP_valley_869,aVWAP_valley_855,aVWAP_valley_850,aVWAP_valley_826,aVWAP_valley_817,aVWAP_valley_797,aVWAP_valley_788,aVWAP_valley_781,aVWAP_valley_773,aVWAP_valley_769,aVWAP_valley_759,aVWAP_valley_751,aVWAP_valley_746,aVWAP_valley_722,aVWAP_valley_711,aVWAP_valley_707,aVWAP_valley_689,aVWAP_valley_672,aVWAP_valley_649,aVWAP_valley_641,aVWAP_valley_626,aVWAP_valley_619,aVWAP_valley_612,aVWAP_valley_607,aVWAP_valley_596,aVWAP_valley_584,aVWAP_valley_576,aVWAP_valley_563,aVWAP_valley_548,aVWAP_valley_535,aVWAP_valley_530,aVWAP_valley_511,aVWAP_valley_503,aVWAP_valley_480,aVWAP_valley_457,aVWAP_valley_439,aVWAP_valley_434,aVWAP_valley_409,aVWAP_valley_402,aVWAP_valley_397,aVWAP_valley_392,aVWAP_valley_377,aVWAP_valley_354,aVWAP_valley_349,aVWAP_valley_344,aVWAP_valley_335,aVWAP_valley_329,aVWAP_valley_315,aVWAP_valley_307,aVWAP_valley_302,aVWAP_valley_285,aVWAP_valley_278,aVWAP_valley_262,aVWAP_valley_253,aVWAP_valley_245,aVWAP_valley_233,aVWAP_valley_229,aVWAP_valley_221,aVWAP_valley_211,aVWAP_valley_202,aVWAP_valley_196,aVWAP_valley_184,aVWAP_valley_169,aVWAP_valley_132,aVWAP_valley_125,aVWAP_valley_115,aVWAP_OB_bull_869,aVWAP_OB_bull_850,aVWAP_OB_bull_826,aVWAP_OB_bull_503,aVWAP_OB_bull_485,aVWAP_OB_bull_480,aVWAP_OB_bull_457,aVWAP_OB_bull_354,aVWAP_OB_bull_335,aVWAP_OB_bull_329,aVWAP_OB_bull_262,aVWAP_OB_bull_211,aVWAP_OB_bull_202,aVWAP_OB_bull_132,aVWAP_OB_bear_792,aVWAP_OB_bear_728,aVWAP_OB_bear_445,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,111.7105219879,114.8315855964,111.0234954074,114.8315855964,396317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,396317.0,False,False,False,False
2022-01-04 00:00:00+00:00,113.1238338106,113.3692004465,111.6418193298,111.775789513,29140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,,-1.0,113.3692,111.64182,490.0,0,,,False,False,False,False,,,False,False,False,False,29140,1142.7450980392157,False,False,False,False,381917.90196078434,False,False,False,False
2022-01-05 00:00:00+00:00,109.3746316142,113.1630924723,109.3746316142,113.1630924723,22112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,75.17428807739421,-49.302847690423164,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7028,1373.539407920031,False,False,False,False,367807.8665897732,False,False,False,False
2022-01-06 00:00:00+00:00,109.2764849598,109.9929555366,108.5804288871,109.2274116327,30743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,58.445187366339916,-49.302847690423164,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-23715,389.67511741336307,False,False,False,False,354589.63652742916,False,False,False,False
2022-01-07 00:00:00+00:00,105.9100547154,109.3059289561,105.8462593901,109.3059289561,31974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,43.61086978113921,-49.302847690423164,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-55689,-1809.4886126812787,False,False,False,False,341938.0429381183,False,False,False,False
2022-01-10 00:00:00+00:00,105.0633435283,105.2132134695,102.9165817576,105.2132134695,20731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,33.21491103413813,-49.302847690423164,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-76420,-4735.391020027111,False,False,False,False,329341.688313094,False,False,False,False
2022-01-11 00:00:00+00:00,105.9296840463,105.9983867044,103.4956470183,105.1248814806,12788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,29.473369064245638,-49.302847690423164,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-63632,-7045.061960418205,False,False,False,False,316927.81818316877,False,False,False,False
2022-01-12 00:00:00+00:00,106.5774519651,107.4809900651,105.8752126531,107.4809900651,19260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,29.122800308388246,-49.302847690423164,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-44372,-8508.863452166512,False,False,False,False,305254.5704112798,False,False,False,False
2022-01-13 00:00:00+00:00,105.44876544,107.3135518727,105.1935841386,106.9994825788,77516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,27.596335070405807,-49.302847690423164,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-121888,-12955.104101101158,False,False,False,False,296323.64608142566,False,False,False,False
2022-01-14 00:00:00+00:00,103.3975003639,104.6635922051,102.1346473623,104.6635922051,23889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,24.825274702226054,-49.302847690423164,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-145777,-18163.805901057975,False,False,False,False,285639.93447038933,False,False,False,False
