date,Close,High,Low,Open,Volume,aVWAP_peak_193,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_167,aVWAP_valley_162,aVWAP_valley_126,aVWAP_valley_95,aVWAP_valley_86,aVWAP_valley_75,aVWAP_valley_64,aVWAP_valley_51,aVWAP_valley_38,aVWAP_OB_bull_171,aVWAP_OB_bull_126,aVWAP_OB_bull_95,aVWAP_OB_bull_64,aVWAP_OB_bull_38,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,192.0004921349,193.5991365054,187.8387103348,190.3869666577,161038,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,161038.0,False,False,False,False
2022-01-07 00:00:00+00:00,172.0743454732,194.5392923513,170.9700519113,193.9158062518,348942,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-348942,-25847.555555555555,False,False,False,False,174956.81481481483,False,False,False,False
2022-01-14 00:00:00+00:00,161.6763954741,171.7225351349,160.1225664799,170.1100710843,402959,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-751901,-79629.29218106995,False,False,False,False,191845.86556927298,False,False,False,False
2022-01-21 00:00:00+00:00,151.5618482476,162.8539828565,151.2882179845,159.0866804838,306879,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1058780,-152158.97424173143,False,False,False,False,200366.83849006757,False,False,False,False
2022-01-28 00:00:00+00:00,150.8289100428,159.8880262544,146.7440011146,149.8125690654,756009,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1814789,-275316.7539275291,False,False,False,False,241525.51712043292,False,False,False,False
2022-02-04 00:00:00+00:00,152.578189225,157.0246810009,150.4966447233,151.2198104187,503547,,,,,,,,,,,,,,,,,,,,#000000,,,,1.4354136640804305,-48.64308552067397,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1311242,-352051.95734030474,False,False,False,False,260934.51585225272,False,False,False,False
2022-02-11 00:00:00+00:00,148.8157731069,158.3146522414,147.9655647893,153.5163501271,368206,,,,,,,,,,,,,,,,,,,,#000000,,,,2.311767419384295,-47.873531749929086,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1679448,-450377.5901299118,False,False,False,False,268880.55171504884,False,False,False,False
2022-02-18 00:00:00+00:00,134.9290372529,150.2914220259,133.2383931271,149.0112232948,630054,,,,,,,,,,,,,,,,,,,,#000000,,,,2.5634388231183762,-47.71449706474416,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2309502,-588090.5093795479,False,False,False,False,295634.14047689707,False,False,False,False
2022-02-25 00:00:00+00:00,141.7013862654,141.8479739064,131.293663757,134.8606296871,508060,,,,,,,,,,,,,,,,,,,,#000000,,,,6.39322242131594,-44.160736996464365,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1801442,-677968.3975736555,False,False,False,False,311369.3893304602,False,False,False,False
2022-03-04 00:00:00+00:00,137.9194251285,141.1052631922,136.6880889444,140.5775476847,396272,,,,,,,,,,,,,,,,,,,,#000000,,,,8.794921756775786,-42.09305549260296,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.31133445011528865,-0.31133445011528865,False,False,False,False,-2197714,-790542.1459015328,False,False,False,False,317658.47160227795,False,False,False,False
