date,Close,High,Low,Open,Volume,aVWAP_peak_183,aVWAP_peak_163,aVWAP_peak_154,aVWAP_peak_147,aVWAP_valley_171,aVWAP_valley_158,aVWAP_valley_148,aVWAP_valley_136,aVWAP_valley_120,aVWAP_valley_107,aVWAP_valley_96,aVWAP_OB_bull_96,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.0301313392,11.1296054693,10.8508379169,10.9514747799,79630,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,79630.0,False,False,False,False
2022-01-07 00:00:00+00:00,11.0229596023,11.1520508663,10.7504336004,11.037303076,194341,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-194341,-14395.62962962963,False,False,False,False,88127.11111111112,False,False,False,False
2022-01-14 00:00:00+00:00,10.8938683382,11.0516465498,10.6858879684,11.037303076,97450,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-291791,-34943.434842249655,False,False,False,False,88817.69547325105,False,False,False,False
2022-01-21 00:00:00+00:00,10.1766946491,10.8866966013,10.1009611075,10.779120548,100214,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-392005,-61392.43966874968,False,False,False,False,89661.86617893615,False,False,False,False
2022-01-28 00:00:00+00:00,9.8037643307,10.0404316481,9.2443688532,9.9256838579,245344,,,,,,,,,,,,,,,#000000,,9.696188277333333,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-637349,-104055.88858217563,False,False,False,False,101193.87609160756,False,False,False,False
2022-02-04 00:00:00+00:00,9.9328555948,10.3819497589,9.6818448036,9.7894208569,135152,,,,,,,,,,,,,,,#000000,,9.80370543729029,,3.0424276181857284,-47.1239551421838,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-502197,-133547.82276127374,False,False,False,False,103709.2926774144,False,False,False,False
2022-02-11 00:00:00+00:00,10.2914424393,10.513766283,9.8754816996,9.9328555948,186978,,,,,,,,,,,,,,,#000000,,9.94314350138076,,11.359199632217145,-39.386793667946876,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-315219,-147004.9470011794,False,False,False,False,109877.34507168,False,False,False,False
2022-02-18 00:00:00+00:00,9.8761737093,10.3925513475,9.8292302877,10.1614452717,136114,,,,,,,,,,,,,,,#000000,,9.960459501710712,,15.187521512450449,-36.19994131475393,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-451333,-169547.76574183276,False,False,False,False,111820.80099229631,False,False,False,False
2022-02-25 00:00:00+00:00,9.8942288715,9.9246337646,9.0781355412,9.8003420282,112426,,,,,,,,,,,,,,,#000000,,9.773792346577657,,18.149867465679286,-33.8690446558075,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-338907,-182092.8942054007,False,False,False,False,111865.63054842252,False,False,False,False
2022-03-04 00:00:00+00:00,9.7786758336,9.9520053905,9.6270124713,9.8725626769,125726,,,,,,,,,,,,,,,#000000,,9.805693027356725,,19.771156263504704,-32.78832795314989,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.2051032639592414,-0.2051032639592414,False,False,False,False,-464633,-203021.79093092657,False,False,False,False,112892.3245818727,False,False,False,False
