date,Close,High,Low,Open,Volume,aVWAP_peak_184,aVWAP_peak_176,aVWAP_peak_164,aVWAP_peak_160,aVWAP_peak_152,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_147,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_127,aVWAP_valley_122,aVWAP_valley_112,aVWAP_valley_95,aVWAP_valley_86,aVWAP_valley_69,aVWAP_valley_64,aVWAP_valley_51,aVWAP_valley_41,aVWAP_OB_bull_41,aVWAP_OB_bear_152,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,23.004761811,23.2321564912,22.2942481833,22.4173255539,3562738,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3562738.0,False,False,False,False
2022-01-07 00:00:00+00:00,22.6257706774,23.9332900884,22.5120733373,23.1184591511,5767437,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5767437,-427217.5555555555,False,False,False,False,3726049.037037037,False,False,False,False
2022-01-14 00:00:00+00:00,23.4027025014,23.6869458516,21.9720109719,22.4457498889,4003051,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,19.632881086343687,-99.08220271585922,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1764386,-526267.0699588477,False,False,False,False,3746567.7009602194,False,False,False,False
2022-01-21 00:00:00+00:00,21.7256667351,23.2700556046,21.6782928434,23.0237113677,3435070,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,21.60613271100862,-96.14319010500873,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5199456,-872429.212924859,False,False,False,False,3723493.7971853884,False,False,False,False
2022-01-28 00:00:00+00:00,20.7308150093,21.7540910701,19.7549128402,21.3750999365,7668644,,,,,,,,,,,,,,,,,,,,,,,,#000000,,20.746606306533334,,20.887648574723606,-95.10297241844825,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12868100,-1760997.4193748694,False,False,False,False,4015727.1455420265,False,False,False,False
2022-02-04 00:00:00+00:00,21.7635658484,22.4078507756,20.4749959941,20.6171176692,5498325,,,,,,,,,,,,,,,,,,,,,,,,#000000,,21.081591887935428,,25.873515488759104,-88.01216056513968,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7369775,-2176462.4253471014,False,False,False,False,4125549.2088352097,False,False,False,False
2022-02-11 00:00:00+00:00,22.0762335337,23.3553286096,21.5788076708,21.8014649618,4487890,,,,,,,,,,,,,,,,,,,,,,,,#000000,,21.400664998462897,,30.69690899718293,-80.84273423173465,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2881885,-2228715.9493954643,False,False,False,False,4152389.267440009,False,False,False,False
2022-02-18 00:00:00+00:00,22.4552246673,23.4595511714,21.7919901834,22.1236074254,6012362,,,,,,,,,,,,,,,,,,,,,,,,#000000,,21.6974461054026,,35.53430126463282,-73.51214854683286,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3130477,-1831738.6938846891,False,False,False,False,4290165.025407416,False,False,False,False
2022-02-25 00:00:00+00:00,23.4500763931,23.5400867873,21.1861728563,22.2657291005,7821203,,,,,,,,,,,,,,,,,,,,,,,,#000000,,22.33911471808282,,41.87976903766202,-64.68224655410043,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10951680,-884818.7906339716,False,False,False,False,4551723.3938957555,False,False,False,False
2022-03-04 00:00:00+00:00,20.9123545377,23.5359044706,20.8172983807,23.0226012228,8395380,,,,,,,,,,,,,,,,,,,,,,,,#000000,,22.067164566688433,,40.71211287565076,-63.12783246939012,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.0503168354317841,0.0503168354317841,False,False,False,False,2556300,-629921.1024388627,False,False,False,False,4836438.698051626,False,False,False,False
2022-03-11 00:00:00+00:00,20.3610288271,20.8933433063,18.3363326832,20.8172983807,12608209,,,,,,,,,,,,,,,,,,,,,,,,#000000,,20.824658979176316,,39.07431122594029,-61.92986721815666,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.1462557094918049,False,False,False,False,-10051909,-1327846.131887836,False,False,False,False,5412125.387084839,False,False,False,False
