date,Close,High,Low,Open,Volume,aVWAP_peak_879,aVWAP_peak_862,aVWAP_peak_852,aVWAP_peak_845,aVWAP_peak_828,aVWAP_peak_812,aVWAP_peak_796,aVWAP_peak_790,aVWAP_peak_779,aVWAP_peak_774,aVWAP_peak_768,aVWAP_peak_762,aVWAP_peak_751,aVWAP_peak_739,aVWAP_peak_732,aVWAP_peak_717,aVWAP_peak_711,aVWAP_peak_700,aVWAP_peak_688,aVWAP_peak_680,aVWAP_peak_679,aVWAP_peak_669,aVWAP_peak_667,aVWAP_peak_646,aVWAP_peak_637,aVWAP_peak_623,aVWAP_peak_613,aVWAP_peak_605,aVWAP_peak_598,aVWAP_peak_564,aVWAP_peak_557,aVWAP_peak_542,aVWAP_peak_518,aVWAP_peak_498,aVWAP_peak_493,aVWAP_peak_486,aVWAP_peak_470,aVWAP_peak_463,aVWAP_peak_462,aVWAP_peak_444,aVWAP_peak_417,aVWAP_peak_412,aVWAP_peak_398,aVWAP_peak_386,aVWAP_peak_374,aVWAP_peak_365,aVWAP_peak_358,aVWAP_peak_346,aVWAP_peak_339,aVWAP_peak_334,aVWAP_peak_318,aVWAP_peak_313,aVWAP_peak_310,aVWAP_peak_294,aVWAP_peak_279,aVWAP_peak_272,aVWAP_peak_261,aVWAP_peak_248,aVWAP_peak_230,aVWAP_peak_222,aVWAP_peak_220,aVWAP_peak_207,aVWAP_peak_199,aVWAP_peak_189,aVWAP_peak_173,aVWAP_peak_162,aVWAP_peak_155,aVWAP_peak_148,aVWAP_peak_146,aVWAP_valley_889,aVWAP_valley_868,aVWAP_valley_850,aVWAP_valley_846,aVWAP_valley_821,aVWAP_valley_794,aVWAP_valley_788,aVWAP_valley_781,aVWAP_valley_773,aVWAP_valley_758,aVWAP_valley_747,aVWAP_valley_735,aVWAP_valley_725,aVWAP_valley_713,aVWAP_valley_712,aVWAP_valley_707,aVWAP_valley_699,aVWAP_valley_697,aVWAP_valley_696,aVWAP_valley_694,aVWAP_valley_685,aVWAP_valley_671,aVWAP_valley_651,aVWAP_valley_630,aVWAP_valley_624,aVWAP_valley_619,aVWAP_valley_618,aVWAP_valley_610,aVWAP_valley_603,aVWAP_valley_592,aVWAP_OB_bull_868,aVWAP_OB_bull_821,aVWAP_OB_bull_794,aVWAP_OB_bull_624,aVWAP_OB_bull_132,aVWAP_OB_bear_532,aVWAP_OB_bear_518,aVWAP_OB_bear_365,aVWAP_OB_bear_162,aVWAP_OB_bear_148,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,6.8021487558,6.8895799737,6.622914759,6.6447725635,256361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,256361.0,False,False,False,False
2022-01-04 00:00:00+00:00,6.6622588071,6.8755035476,6.6185431981,6.8108918776,444612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,-1.0,6.8755035,6.618543,0.0,0,,,False,False,False,False,,,False,False,False,False,-444612,-17435.764705882353,False,False,False,False,263743.39215686277,False,False,False,False
2022-01-05 00:00:00+00:00,6.496139493,6.7322037814,6.408708275,6.6272863199,332369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-776981,-47221.8523644752,False,False,False,False,266434.5924644368,False,False,False,False
2022-01-06 00:00:00+00:00,6.6884881725,6.7846625122,6.4436807622,6.5136257366,269120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.969353485530117,-37.19475930493073,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-507861,-65286.13266390754,False,False,False,False,266539.90256387065,False,False,False,False
2022-01-07 00:00:00+00:00,6.3125339353,6.705974416,6.3037908135,6.705974416,242684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,16.661235974808836,-35.503275550065794,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-750545,-92159.02942218567,False,False,False,False,265604.3769731306,False,False,False,False
2022-01-10 00:00:00+00:00,6.1901302302,6.2688183263,6.0414971597,6.2688183263,338989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,17.389478760393345,-35.470315686487496,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1089534,-131271.7733664137,False,False,False,False,268482.2053271255,False,False,False,False
2022-01-11 00:00:00+00:00,6.3387633007,6.3912220315,5.9890384289,6.0200765113,301372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,22.267039054786846,-31.402615377828855,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-788162,-157032.17441086806,False,False,False,False,269772.00119665003,False,False,False,False
2022-01-12 00:00:00+00:00,6.3649926661,6.5573413455,6.3562495443,6.408708275,341681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,26.211078288578896,-28.247714002707138,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-446481,-168383.1087476968,False,False,False,False,272591.96193403634,False,False,False,False
2022-01-13 00:00:00+00:00,6.3300201789,6.4786532494,6.2775614481,6.4261945186,205246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,28.352927312525857,-26.70850945785221,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-651727,-187337.7711497479,False,False,False,False,269950.9438189761,False,False,False,False
2022-01-14 00:00:00+00:00,6.0502402815,6.2688183263,6.0327540379,6.198873352,234884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,26.799863952492863,-26.70850945785221,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-886611,-214760.25071250286,False,False,False,False,268575.7695515653,False,False,False,False
