date,Close,High,Low,Open,Volume,aVWAP_peak_198,aVWAP_valley_190,aVWAP_valley_176,aVWAP_valley_170,aVWAP_valley_165,aVWAP_valley_155,aVWAP_valley_150,aVWAP_valley_136,aVWAP_valley_130,aVWAP_valley_123,aVWAP_valley_113,aVWAP_valley_96,aVWAP_OB_bull_170,aVWAP_OB_bull_96,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,0.6402,0.72,0.63,0.72,1235472,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1235472.0,False,False,False,False
2022-01-07 00:00:00+00:00,0.6475,0.69,0.63,0.6667,834600,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,834600,61822.22222222222,False,False,False,False,1205777.7777777778,False,False,False,False
2022-01-14 00:00:00+00:00,0.700839,0.7225,0.595,0.65,1387897,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2222497,221872.20576131684,False,False,False,False,1219268.0905349795,False,False,False,False
2022-01-21 00:00:00+00:00,0.675,0.73,0.675,0.69,740211,,,,,,,,,,,,,,,,,#000000,,,,90.99479706356138,41.487269099147866,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1482286,315236.19051973784,False,False,False,False,1183782.380124981,False,False,False,False
2022-01-28 00:00:00+00:00,0.6639,0.690851,0.63,0.684,1034459,,,,,,,,,,,,,,,,,#000000,,,,82.08367336819548,33.432826507562154,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,447827,325057.73196272017,False,False,False,False,1172721.389004612,False,False,False,False
2022-02-04 00:00:00+00:00,0.64,0.695,0.64,0.6478,307561,,,,,,,,,,,,,,,,,#000000,,,,71.85400288057158,24.39740707700929,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,140266,311369.4555210372,False,False,False,False,1108635.43426353,False,False,False,False
2022-02-11 00:00:00+00:00,0.6424,0.679,0.6287,0.67,593479,,,,,,,,,,,,,,,,,#000000,,,,64.91170775526689,18.709376491370364,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,733745,342656.5328898493,False,False,False,False,1070475.6983921572,False,False,False,False
2022-02-18 00:00:00+00:00,0.7,0.7649,0.641,0.641,1210255,,,,,,,,,,,,,,,,,#000000,,,,65.63502302479131,18.709376491370364,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1944000,461274.56749060116,False,False,False,False,1080829.720733479,False,False,False,False
2022-02-25 00:00:00+00:00,0.6998,0.759,0.6501,0.759,883111,,,,,,,,,,,,,,,,,#000000,,,,66.12453052945165,18.709376491370364,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1060889,505690.45138018625,False,False,False,False,1066183.889568036,False,False,False,False
2022-03-04 00:00:00+00:00,0.67,0.72,0.6623,0.71,667259,,,,,,,,,,,,,,,,,#000000,,,,62.94115344381598,18.709376491370364,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.15683453562595356,0.15683453562595356,False,False,False,False,393630,497389.67720387614,False,False,False,False,1036633.8977481815,False,False,False,False
