date,Open,High,Low,Close,Volume,aVWAP_peak_428,aVWAP_peak_354,aVWAP_peak_302,aVWAP_peak_299,aVWAP_peak_283,aVWAP_peak_259,aVWAP_peak_206,aVWAP_peak_182,aVWAP_peak_141,aVWAP_peak_93,aVWAP_valley_409,aVWAP_valley_380,aVWAP_valley_326,aVWAP_OB_bull_380,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-01-08 17:00:00+00:00,2.235,2.245,2.185,2.195,11128.0,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,11128.0,False,False,False,False
2024-01-09 17:00:00+00:00,2.135,2.14,2.06,2.07,12448.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12448.0,-192.9922480620155,False,False,False,False,11148.465116279069,False,False,False,False
2024-01-10 17:00:00+00:00,2.015,2.06,2.01,2.045,8559.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21007.0,-515.6900426657052,False,False,False,False,11108.318370290246,False,False,False,False
2024-01-11 17:00:00+00:00,1.985,2.035,1.985,2.015,7556.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-28563.0,-950.5320575080973,False,False,False,False,11053.243666874894,False,False,False,False
2024-01-12 17:00:00+00:00,1.975,2.015,1.97,1.995,6075.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-34638.0,-1472.8183821978942,False,False,False,False,10976.061594520244,False,False,False,False
2024-01-15 17:00:00+00:00,1.995,1.995,1.995,1.995,0.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-34638.0,-1987.0072444893997,False,False,False,False,10805.890096930783,False,False,False,False
2024-01-16 17:00:00+00:00,2.045,2.075,2.02,2.04,17575.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,8.990330473194252,-41.90870257412517,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17063.0,-2220.743566280262,False,False,False,False,10910.837537288444,False,False,False,False
2024-01-17 17:00:00+00:00,2.055,2.07,1.995,2.01,9847.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.471272865709718,-38.41527424925291,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26910.0,-2603.5227357952967,False,False,False,False,10894.343932059164,False,False,False,False
2024-01-18 17:00:00+00:00,1.975,1.995,1.935,1.965,10071.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,1.9650000000000003,,14.804981892707705,-37.771483243647864,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-36981.0,-3136.5068794263775,False,False,False,False,10881.578909856697,False,False,False,False
2024-01-19 17:00:00+00:00,1.965,2.03,1.955,1.995,16016.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,1.9823951265636781,,19.607516116295233,-33.78769137065635,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20965.0,-3412.917625481782,False,False,False,False,10961.182337610855,False,False,False,False
