date,Open,High,Low,Close,Volume,aVWAP_peak_876,aVWAP_valley_852,aVWAP_valley_794,aVWAP_valley_780,aVWAP_valley_726,aVWAP_valley_687,aVWAP_valley_673,aVWAP_valley_641,aVWAP_valley_582,aVWAP_valley_551,aVWAP_valley_504,aVWAP_valley_469,aVWAP_valley_468,aVWAP_valley_443,aVWAP_valley_425,aVWAP_valley_378,aVWAP_valley_319,aVWAP_valley_286,aVWAP_valley_246,aVWAP_valley_207,aVWAP_valley_186,aVWAP_valley_158,aVWAP_OB_bull_852,aVWAP_OB_bull_780,aVWAP_OB_bull_726,aVWAP_OB_bull_319,aVWAP_OB_bull_246,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-04 15:00:00+00:00,11.26,11.35,11.12,11.32,3375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,3375.0,False,False,False,False
2025-03-04 16:00:00+00:00,11.315,11.555,11.24,11.53,2431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2431.0,37.689922480620154,False,False,False,False,3360.3643410852715,False,False,False,False
2025-03-04 17:00:00+00:00,11.535,11.595,11.405,11.435,3099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,88.7573964497042,10.65088757396471,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-668.0,26.748993449912863,False,False,False,False,3356.312180758368,False,False,False,False
2025-03-04 18:00:00+00:00,11.435,11.54,11.41,11.525,790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,84.23507242457617,10.65088757396471,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,122.0,28.225753241387082,False,False,False,False,3316.5243950101762,False,False,False,False
2025-03-04 19:00:00+00:00,11.525,11.62,11.525,11.58,1764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,82.4922926290254,10.65088757396471,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1886.0,57.02845474152061,False,False,False,False,3292.454249351104,False,False,False,False
2025-03-04 20:00:00+00:00,11.58,11.685,11.48,11.49,3813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,75.51860667463015,10.65088757396471,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1927.0,26.268323660256726,False,False,False,False,3300.5247261053505,False,False,False,False
2025-03-05 15:00:00+00:00,12.145,12.275,12.1,12.24,7475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,79.50508436996972,10.65088757396471,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5548.0,111.87656670428375,False,False,False,False,3365.245272987438,False,False,False,False
2025-03-05 16:00:00+00:00,12.24,12.345,12.12,12.31,3276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,82.43866377039467,10.65088757396471,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8824.0,246.94824784065142,False,False,False,False,3363.8616253442215,False,False,False,False
2025-03-05 17:00:00+00:00,12.3,12.36,12.23,12.26,2042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,82.90961651148436,12.743991690292802,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6782.0,348.2668796570754,False,False,False,False,3343.367646656714,False,False,False,False
2025-03-05 18:00:00+00:00,12.26,12.31,12.2,12.31,2474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,83.51264103390051,15.250133743797434,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9256.0,486.3712691197564,False,False,False,False,3329.8890784914934,False,False,False,False
2025-03-05 19:00:00+00:00,12.31,12.415,12.225,12.225,1560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,81.28454996742579,15.250133743797434,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7696.0,598.1484587458067,False,False,False,False,3302.448937739687,False,False,False,False
2025-03-05 20:00:00+00:00,12.23,12.375,12.19,12.36,7206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,80.90111766677244,16.091865685973403,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,14902.0,819.9135989202903,False,False,False,False,3362.969109247599,False,False,False,False
2025-03-06 15:00:00+00:00,12.375,12.52,12.365,12.465,3064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,81.38040537312351,18.221238799769807,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17966.0,1085.7443958362546,False,False,False,False,3358.333929259264,False,False,False,False
