date,Open,High,Low,Close,Volume,aVWAP_peak_435,aVWAP_peak_429,aVWAP_peak_416,aVWAP_peak_408,aVWAP_peak_399,aVWAP_peak_379,aVWAP_peak_363,aVWAP_peak_349,aVWAP_peak_338,aVWAP_peak_329,aVWAP_peak_320,aVWAP_peak_311,aVWAP_peak_307,aVWAP_peak_300,aVWAP_peak_295,aVWAP_peak_282,aVWAP_peak_277,aVWAP_peak_271,aVWAP_peak_260,aVWAP_peak_236,aVWAP_peak_225,aVWAP_peak_207,aVWAP_peak_206,aVWAP_peak_189,aVWAP_peak_183,aVWAP_peak_172,aVWAP_peak_162,aVWAP_peak_138,aVWAP_peak_132,aVWAP_peak_108,aVWAP_peak_94,aVWAP_peak_85,aVWAP_peak_71,aVWAP_peak_58,aVWAP_peak_34,aVWAP_peak_13,aVWAP_peak_4,aVWAP_valley_440,aVWAP_valley_424,aVWAP_valley_406,aVWAP_valley_388,aVWAP_valley_384,aVWAP_valley_369,aVWAP_OB_bull_440,aVWAP_OB_bull_388,aVWAP_OB_bull_148,aVWAP_OB_bull_1,aVWAP_OB_bear_416,aVWAP_OB_bear_363,aVWAP_OB_bear_349,aVWAP_OB_bear_282,aVWAP_OB_bear_260,aVWAP_OB_bear_246,aVWAP_OB_bear_236,aVWAP_OB_bear_207,aVWAP_OB_bear_108,aVWAP_OB_bear_34,aVWAP_OB_bear_13,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-09 17:00:00+00:00,12.355,12.375,12.215,12.215,769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,769.0,False,False,False,False
2023-11-10 17:00:00+00:00,11.99,12.085,11.985,12.065,3877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.045,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3877.0,-60.10852713178294,False,False,False,False,817.1860465116279,False,False,False,False
2023-11-13 17:00:00+00:00,12.285,12.295,12.215,12.215,4298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.148397349643218,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,17.64705882352941,-76.47058823529412,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,421.0,-52.64948019950724,False,False,False,False,871.1521543176491,False,False,False,False
2023-11-14 17:00:00+00:00,12.71,12.775,12.685,12.73,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.26285501408266,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,39.94630453002258,-54.636561217097324,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2424.0,-14.251813839824948,False,False,False,False,888.7001829328793,False,False,False,False
2023-11-15 17:00:00+00:00,12.79,12.8,12.705,12.71,1718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.738333333333335,,,,,,,,,,12.331522780766642,,,,,,,,,,,,,12.738333333333335,,"rgba(38, 166, 154, 0.5)",,,,54.00916880691634,-40.49440869851782,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,706.0,-3.085119051610608,False,False,False,False,901.5575444377959,False,False,False,False
2023-11-16 17:00:00+00:00,12.36,12.4,12.34,12.395,1550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.567586699306407,,,,,,,,,,12.336918910208734,,,,,,,,,,,,,12.567586699306407,,"rgba(38, 166, 154, 0.5)",,,,54.19692019830843,-38.4945448713687,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-844.0,-16.12255906631432,False,False,False,False,911.610915841861,False,False,False,False
2023-11-17 17:00:00+00:00,12.26,12.375,12.26,12.345,2604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.460748183469574,,,,,,,,,,12.335255555555554,,,,,,,,,,,,,12.460748183469574,,"rgba(38, 166, 154, 0.5)",,,,53.29364623074194,-36.62073567402026,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3448.0,-69.3299612513327,False,False,False,False,937.8495062939252,False,False,False,False
2023-11-20 17:00:00+00:00,12.21,12.225,12.135,12.175,1641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.399062735702561,,,,,,,,,,12.32069960243438,,,,,,,,,,,,,12.399062735702561,,#000000,,,,49.63996720627009,-36.62073567402026,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5089.0,-147.15430293735855,False,False,False,False,948.7510643358798,False,False,False,False
2023-11-21 17:00:00+00:00,11.965,11.965,11.85,11.85,4016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.221155781073815,,,,,,,,,,12.240707759401726,,,,,,,,,,,,,12.221155781073815,,"rgba(239, 83, 80, 0.5)",,,,43.30079613307592,-36.62073567402026,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9105.0,-286.03563157398867,False,False,False,False,996.3053114004399,False,False,False,False
2023-11-22 17:00:00+00:00,11.31,11.34,11.25,11.295,7848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.84604763379264,,,,,,,,,,11.989585631308856,,,,,,,,,,,,,11.84604763379264,,"rgba(239, 83, 80, 0.5)",,,,35.53250668450725,-36.62073567402026,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16953.0,-544.4381799216787,False,False,False,False,1102.5331360298903,False,False,False,False
2023-11-23 17:00:00+00:00,11.295,11.295,11.295,11.295,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.84604763379264,,,,,,,,,,11.989585631308856,,,,,,,,,,,,,11.84604763379264,,"rgba(239, 83, 80, 0.5)",,,,30.35364705212813,-36.62073567402026,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16953.0,-798.8344872097148,False,False,False,False,1085.4395990371788,False,False,False,False
2023-11-24 17:00:00+00:00,11.275,11.47,11.275,11.47,1496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.814437071815263,,,,,,,,,,11.961420995566431,,,,,,,,,,,,,11.814437071815263,,"rgba(239, 83, 80, 0.5)",,,,30.1449565057896,-36.62073567402026,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15457.0,-1026.092867252975,False,False,False,False,1091.8048765714861,False,False,False,False
