date,Open,High,Low,Close,Volume,aVWAP_peak_843,aVWAP_peak_821,aVWAP_valley_876,aVWAP_valley_832,aVWAP_valley_782,aVWAP_valley_736,aVWAP_valley_714,aVWAP_valley_667,aVWAP_valley_653,aVWAP_valley_564,aVWAP_valley_481,aVWAP_OB_bull_736,aVWAP_OB_bull_498,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-11 14:00:00+00:00,8.86,8.985,8.8,8.895,3091.0,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,3091.0,False,False,False,False
2025-04-11 15:00:00+00:00,8.995,9.04,8.855,9.0,8122.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8122.0,125.92248062015504,False,False,False,False,3169.0,False,False,False,False
2025-04-11 16:00:00+00:00,9.0,9.195,8.99,9.16,6938.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15060.0,357.4585661919356,False,False,False,False,3227.4341085271317,False,False,False,False
2025-04-11 17:00:00+00:00,9.16,9.32,9.11,9.31,7256.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,22316.0,697.901069041673,False,False,False,False,3289.8924944414393,False,False,False,False
2025-04-11 18:00:00+00:00,9.31,9.31,9.15,9.21,8102.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,92.31061325232584,43.07955192709325,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,14214.0,907.4529904518797,False,False,False,False,3364.498812357076,False,False,False,False
2025-04-11 19:00:00+00:00,9.21,9.425,9.21,9.32,15939.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,88.89196443556948,40.464131196872984,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,30153.0,1360.8723239332458,False,False,False,False,3559.4523191422377,False,False,False,False
2025-04-14 14:00:00+00:00,9.73,10.17,9.68,10.005,6259.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,90.25414946236764,40.464131196872984,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,36412.0,1904.300659996296,False,False,False,False,3601.3057715586374,False,False,False,False
2025-04-14 15:00:00+00:00,10.005,10.09,9.86,9.965,6244.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,89.97054065596339,40.464131196872984,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,30168.0,2342.4975489886015,False,False,False,False,3642.2777751003637,False,False,False,False
2025-04-14 16:00:00+00:00,9.965,10.03,9.855,9.91,3180.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,88.10840600724974,40.464131196872984,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,26988.0,2724.5983621825767,False,False,False,False,3635.110677811986,False,False,False,False
2025-04-14 17:00:00+00:00,9.93,9.955,9.815,9.855,3574.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,85.19599349272555,38.33053889964846,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,23414.0,3045.3642790479635,False,False,False,False,3634.163225442808,False,False,False,False
