date,Close,High,Low,Open,Volume,aVWAP_peak_106,aVWAP_peak_101,aVWAP_peak_95,aVWAP_valley_104,aVWAP_valley_85,aVWAP_valley_81,aVWAP_valley_78,aVWAP_valley_71,aVWAP_valley_63,aVWAP_valley_58,aVWAP_valley_46,aVWAP_valley_37,aVWAP_valley_29,aVWAP_valley_16,aVWAP_valley_10,aVWAP_OB_bull_104,aVWAP_OB_bull_85,aVWAP_OB_bull_58,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-13 00:00:00+00:00,2.7,9.8,2.53,8.05,685400,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,685400.0,False,False,False,False
2025-02-14 00:00:00+00:00,3.0492,3.7,2.6,3.05,1302526,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1302526,51079.450980392154,False,False,False,False,709601.0196078431,False,False,False,False
2025-02-18 00:00:00+00:00,7.5,9.89,4.1,4.33,57930736,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,59233262,2371949.3548635137,False,False,False,False,2953567.097270281,False,False,False,False
2025-02-19 00:00:00+00:00,6.15,7.77,6.1,6.5,1589810,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,92.08412201355513,42.743778512425536,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,57643452,4539459.262515925,False,False,False,False,2900086.4267890938,False,False,False,False
2025-02-20 00:00:00+00:00,5.59,6.4,5.4,6.0,535396,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,84.32191414448204,36.06819229835547,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,57108056,6600972.86006432,False,False,False,False,2807353.468875796,False,False,False,False
2025-02-21 00:00:00+00:00,3.77,5.5,3.7,5.28,635261,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,73.20778304060786,26.58632943150421,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,56472795,8556730.59104219,False,False,False,False,2722173.3720571375,False,False,False,False
2025-02-24 00:00:00+00:00,3.43,3.8828,3.25,3.77,188519,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,64.93966359343428,20.046891036447207,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,56284276,10428399.038452301,False,False,False,False,2622814.3770745047,False,False,False,False
2025-02-25 00:00:00+00:00,3.36,3.44,3.22,3.43,112302,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,59.245030062175374,15.885415823346051,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,56171974,12222264.723218877,False,False,False,False,2524362.911306877,False,False,False,False
2025-02-26 00:00:00+00:00,2.91,3.36,2.82,3.36,262397,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,54.26684926632397,12.202321543614836,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,55909577,13935492.655641668,False,False,False,False,2435658.365765431,False,False,False,False
2025-02-27 00:00:00+00:00,1.85,2.88,1.81,2.88,491299,,,,,,,,,,,,,,,,,,,,,,#000000,,,,48.56943257437696,7.658625426711019,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,55418278,15562268.551498858,False,False,False,False,2359408.978872669,False,False,False,False
