date,Close,High,Low,Open,Volume,aVWAP_peak_889,aVWAP_peak_877,aVWAP_peak_873,aVWAP_peak_864,aVWAP_peak_852,aVWAP_peak_841,aVWAP_peak_832,aVWAP_peak_823,aVWAP_peak_803,aVWAP_peak_786,aVWAP_peak_785,aVWAP_peak_776,aVWAP_peak_771,aVWAP_peak_767,aVWAP_peak_755,aVWAP_peak_744,aVWAP_peak_732,aVWAP_peak_716,aVWAP_peak_707,aVWAP_peak_702,aVWAP_peak_683,aVWAP_peak_677,aVWAP_peak_663,aVWAP_peak_655,aVWAP_peak_641,aVWAP_peak_640,aVWAP_peak_635,aVWAP_peak_622,aVWAP_peak_613,aVWAP_valley_887,aVWAP_valley_876,aVWAP_valley_875,aVWAP_valley_868,aVWAP_valley_849,aVWAP_valley_844,aVWAP_valley_838,aVWAP_valley_837,aVWAP_valley_826,aVWAP_valley_817,aVWAP_valley_798,aVWAP_valley_793,aVWAP_valley_788,aVWAP_valley_783,aVWAP_valley_762,aVWAP_valley_747,aVWAP_valley_743,aVWAP_valley_735,aVWAP_valley_730,aVWAP_valley_726,aVWAP_valley_711,aVWAP_valley_705,aVWAP_valley_695,aVWAP_valley_680,aVWAP_valley_672,aVWAP_valley_667,aVWAP_valley_659,aVWAP_valley_649,aVWAP_valley_637,aVWAP_valley_630,aVWAP_valley_618,aVWAP_valley_610,aVWAP_valley_597,aVWAP_valley_576,aVWAP_valley_558,aVWAP_valley_549,aVWAP_valley_529,aVWAP_valley_523,aVWAP_valley_496,aVWAP_valley_475,aVWAP_valley_467,aVWAP_valley_453,aVWAP_valley_439,aVWAP_valley_434,aVWAP_valley_424,aVWAP_valley_414,aVWAP_valley_407,aVWAP_valley_403,aVWAP_valley_382,aVWAP_valley_370,aVWAP_valley_354,aVWAP_valley_343,aVWAP_valley_342,aVWAP_valley_337,aVWAP_valley_323,aVWAP_valley_316,aVWAP_valley_315,aVWAP_OB_bull_849,aVWAP_OB_bull_826,aVWAP_OB_bull_467,aVWAP_OB_bull_354,aVWAP_OB_bull_323,aVWAP_OB_bull_316,aVWAP_OB_bear_877,aVWAP_OB_bear_803,aVWAP_OB_bear_732,aVWAP_OB_bear_716,aVWAP_OB_bear_683,aVWAP_OB_bear_613,aVWAP_OB_bear_311,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,1.86,1.9032,1.82,1.85,195023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,195023.0,False,False,False,False
2022-01-04 00:00:00+00:00,1.82,1.87,1.8,1.87,176355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-176355,-6915.882352941177,False,False,False,False,194290.92156862747,False,False,False,False
2022-01-05 00:00:00+00:00,1.75,1.85,1.7,1.8,512268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-688623,-33649.494809688586,False,False,False,False,206760.61091887736,False,False,False,False
2022-01-06 00:00:00+00:00,1.73,1.7869,1.68,1.75,209316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-897939,-67543.20089558314,False,False,False,False,206860.82225539198,False,False,False,False
2022-01-07 00:00:00+00:00,1.69,1.74,1.68,1.72,143255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1041194,-105725.58517418773,False,False,False,False,204366.4762845923,False,False,False,False
2022-01-10 00:00:00+00:00,1.68,1.69,1.55,1.69,279378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1320572,-153366.6210497098,False,False,False,False,207308.10466558867,False,False,False,False
2022-01-11 00:00:00+00:00,1.73,1.77,1.67,1.71,201131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,9.268380831691738,-41.50398423761591,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1119441,-191251.89081246627,False,False,False,False,207065.86526693814,False,False,False,False
2022-01-12 00:00:00+00:00,1.78,1.78,1.7,1.77,195488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,21.08377322493646,-31.188117923346674,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-923953,-219985.26764334994,False,False,False,False,206611.83133490136,False,False,False,False
2022-01-13 00:00:00+00:00,1.72,1.82,1.675,1.79,448680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,25.440819019544413,-28.172388745681165,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1372633,-265187.1395004735,False,False,False,False,216104.700694317,False,False,False,False
2022-01-14 00:00:00+00:00,2.0,2.08,1.77,1.8,1340902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,40.37269116111112,-15.315942273087671,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-31731,-256031.99677496476,False,False,False,False,260214.39870630458,False,False,False,False
