date,Close,High,Low,Open,Volume,aVWAP_peak_645,aVWAP_valley_646,aVWAP_valley_629,aVWAP_valley_611,aVWAP_valley_592,aVWAP_valley_587,aVWAP_valley_579,aVWAP_valley_561,aVWAP_valley_541,aVWAP_valley_534,aVWAP_valley_529,aVWAP_valley_520,aVWAP_valley_511,aVWAP_valley_506,aVWAP_valley_483,aVWAP_valley_474,aVWAP_valley_466,aVWAP_valley_452,aVWAP_valley_444,aVWAP_valley_433,aVWAP_valley_410,aVWAP_valley_403,aVWAP_valley_386,aVWAP_valley_382,aVWAP_valley_375,aVWAP_valley_365,aVWAP_valley_361,aVWAP_valley_345,aVWAP_valley_337,aVWAP_valley_326,aVWAP_valley_321,aVWAP_valley_313,aVWAP_valley_292,aVWAP_valley_282,aVWAP_valley_272,aVWAP_valley_264,aVWAP_valley_255,aVWAP_valley_245,aVWAP_valley_227,aVWAP_valley_218,aVWAP_valley_200,aVWAP_valley_196,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_139,aVWAP_valley_131,aVWAP_valley_110,aVWAP_valley_104,aVWAP_valley_96,aVWAP_valley_90,aVWAP_valley_80,aVWAP_valley_58,aVWAP_valley_47,aVWAP_OB_bull_646,aVWAP_OB_bull_629,aVWAP_OB_bull_611,aVWAP_OB_bull_599,aVWAP_OB_bear_569,aVWAP_OB_bear_543,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-12-14 00:00:00+00:00,21.8291836414,21.9417945093,21.8291836414,21.9417945093,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,517.0,False,False,False,False
2022-12-15 00:00:00+00:00,21.3739758634,21.3739758634,21.3739758634,21.3739758634,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-195,-7.647058823529411,False,False,False,False,504.37254901960785,False,False,False,False
2022-12-16 00:00:00+00:00,21.2711534786,21.2711534786,20.3652423575,20.3652423575,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,1.0,21.271154,20.365242,0.0,0,,,False,False,False,False,,,False,False,False,False,-418,-23.739331026528255,False,False,False,False,493.3383314109958,False,False,False,False
2022-12-19 00:00:00+00:00,21.0998117118,21.240142178,21.0998117118,21.240142178,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-817,-54.8475925548997,False,False,False,False,489.63878900272147,False,False,False,False
2022-12-20 00:00:00+00:00,21.0998117118,21.1618343129,21.0998117118,21.1618343129,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-817,-84.73592225862913,False,False,False,False,475.064718845752,False,False,False,False
2022-12-21 00:00:00+00:00,21.2856196439,21.3614154205,21.2856196439,21.352753046,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,8.655380969876612,-42.06590077761311,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,96,-77.64823903280053,False,False,False,False,492.2386514400363,False,False,False,False
2022-12-22 00:00:00+00:00,21.0733914696,21.0733914696,21.0733914696,21.0733914696,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,12.296503073232778,-39.20906001452977,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-817,-106.6424257373966,False,False,False,False,508.7390964816035,False,False,False,False
2022-12-23 00:00:00+00:00,21.1368000507,21.1368000507,21.1368000507,21.1368000507,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,16.729036801117783,-35.648722720053456,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-812,-134.3035070810281,False,False,False,False,488.9846221097759,False,False,False,False
2022-12-27 00:00:00+00:00,21.075990182,21.075990182,21.075990182,21.075990182,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,19.060117009826985,-34.051542287460194,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-824,-161.35042837196818,False,False,False,False,470.27934281135333,False,False,False,False
2022-12-28 00:00:00+00:00,20.9157102673,21.0739608347,20.9157102673,21.0739608347,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,19.230793203767625,-34.051542287460194,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2919,-269.49354882796945,False,False,False,False,533.9938783873787,False,False,False,False
