date,Close,High,Low,Open,Volume,aVWAP_peak_189,aVWAP_valley_190,aVWAP_valley_171,aVWAP_valley_137,aVWAP_valley_129,aVWAP_valley_113,aVWAP_valley_98,aVWAP_valley_91,aVWAP_valley_70,aVWAP_valley_55,aVWAP_valley_51,aVWAP_valley_41,aVWAP_OB_bull_171,aVWAP_OB_bull_137,aVWAP_OB_bull_70,aVWAP_OB_bull_55,aVWAP_OB_bull_41,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,56.2597599284,57.0720951081,55.2920600969,55.4074738383,62051109,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,62051109.0,False,False,False,False
2022-01-07 00:00:00+00:00,54.5989340858,56.2420039682,53.5092776227,55.8424948635,116958651,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-116958651,-8663603.777777778,False,False,False,False,66118334.33333333,False,False,False,False
2022-01-14 00:00:00+00:00,54.8043611239,56.1061433328,54.0541058542,54.3622464114,94458060,,,,,,,,,,,,,,,,,,,,#000000,,,,3.3433436481235703,-58.358359120308926,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22500591,-9688565.794238683,False,False,False,False,68217573.27160493,False,False,False,False
2022-01-21 00:00:00+00:00,50.6243674788,53.7861575437,50.5618462064,53.5717988952,94124212,,,,,,,,,,,,,,,,,,,,#000000,,,,3.3295934258175737,-58.190022202140526,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-116624803,-17609768.550221004,False,False,False,False,70136583.54778235,False,False,False,False
2022-01-28 00:00:00+00:00,49.6686851711,50.9101790101,47.7349915297,50.1599237405,144924624,,,,,,,,,,,,,,,,,,,,#000000,,,,3.17888118078222,-58.02957206196369,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-261549427,-35679372.879834265,False,False,False,False,75676438.39609477,False,False,False,False
2022-02-04 00:00:00+00:00,49.2578310949,50.298363701,48.5790287081,49.5079161847,114616822,,,,,,,,,,,,,,,,,,,,#000000,,,,3.0196033833676146,-57.78419458082842,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-376166249,-60900622.9628095,False,False,False,False,78560911.25564331,False,False,False,False
2022-02-11 00:00:00+00:00,48.1413798008,50.3564191682,48.0252688662,49.4186000812,88669983,,,,,,,,,,,,,,,,,,,,#000000,,,,2.787444046023539,-57.55042659110319,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-464836232,-90821779.18778658,False,False,False,False,79309731.38485491,False,False,False,False
2022-02-18 00:00:00+00:00,51.0977428275,51.5264601244,47.0695865585,47.7037308935,128448278,,,,,,,,,,,,,,,,,,,,#000000,,49.897929836799996,,11.272478515809036,-49.01116260539155,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-336387954,-109011866.2109135,False,False,False,False,82949623.7267175,False,False,False,False
2022-02-25 00:00:00+00:00,50.0527444163,51.035221555,47.5250986865,50.8476577376,93604140,,,,,,,,,,,,,,,,,,,,#000000,,49.74607331974367,,16.359117838334605,-44.00049750516688,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-429992094,-132788179.38047546,False,False,False,False,83738847.15436806,False,False,False,False
2022-03-04 00:00:00+00:00,50.4725301028,50.9101790101,48.4629177735,49.490052964,93854499,,,,,,,,,,,,,,,,,,,,#000000,,49.806225925644114,,20.868226339707114,-39.6342796491701,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.29116155199475785,-0.29116155199475785,False,False,False,False,-336137595,-147851099.0559958,False,False,False,False,84488154.69848894,False,False,False,False
