date,Close,High,Low,Open,Volume,aVWAP_peak_155,aVWAP_valley_171,aVWAP_valley_121,aVWAP_valley_96,aVWAP_valley_69,aVWAP_valley_53,aVWAP_OB_bull_121,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,352.26,372.9999666667,351.05,357.89,275063358,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,275063358.0,False,False,False,False
2022-01-07 00:00:00+00:00,342.32,402.6666666667,336.6666666667,382.5833333333,459555324,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-459555324,-34041135.11111111,False,False,False,False,288729429.5555556,False,False,False,False
2022-01-14 00:00:00+00:00,349.87,371.8666666667,326.6666666667,333.3333333333,410468019,,,,,,,,,,,#000000,,,,12.819279290496768,-82.04819822624192,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-49087305,-35155666.21399177,False,False,False,False,297747102.84773666,False,False,False,False
2022-01-21 00:00:00+00:00,314.6333333333,356.9299666667,313.5,342.2016666667,314990652,,,,,,,,,,,#000000,,,,13.108821357425697,-81.07343615489913,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-364077957,-59520280.346288666,False,False,False,False,299024402.7849414,False,False,False,False
2022-01-28 00:00:00+00:00,282.1166666667,329.23,264.0033333333,301.5866666667,625736850,,,,,,,,,,,#000000,,291.78333333333336,,11.710493237378921,-81.07343615489913,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-989814807,-128430986.02434134,False,False,False,False,323225324.8008717,False,False,False,False
2022-02-04 00:00:00+00:00,307.7733333333,314.5666666667,287.35,290.9033333333,396848493,,,,,,,,,,,#000000,,296.22559572994976,,17.414394519940675,-74.3970753468665,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-592966314,-162841010.31883457,False,False,False,False,328678892.8156219,False,False,False,False
2022-02-11 00:00:00+00:00,286.6666666667,315.9233333333,283.5666666667,307.93,309755721,,,,,,,,,,,#000000,,296.03029494930445,,19.824705621060204,-70.5218023646301,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-902722035,-217647012.14706907,False,False,False,False,327277176.38483506,False,False,False,False
2022-02-18 00:00:00+00:00,285.66,308.8099666667,279.2033333333,287.19,300380613,,,,,,,,,,,#000000,,295.1461346674057,,21.477608432432596,-67.20726704824814,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1203102648,-290643725.9139528,False,False,False,False,325284838.3563288,False,False,False,False
2022-02-25 00:00:00+00:00,269.9566666667,285.5779333333,233.3333333333,278.0433333333,388810668,,,,,,,,,,,#000000,,275.95541532565926,,21.6731737861681,-65.14575810876144,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1591913316,-387034065.9203267,False,False,False,False,329990455.3669711,False,False,False,False
2022-03-04 00:00:00+00:00,279.43,296.6266666667,271.5691666667,271.67,377220534,,,,,,,,,,,#000000,,280.27358537656266,,23.593161957729276,-61.3268604216335,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.18449458982043535,-0.18449458982043535,False,False,False,False,-1214692782,-448342118.9632655,False,False,False,False,333488979.7101584,False,False,False,False
