date,Close,High,Low,Open,Volume,aVWAP_OB_bull_103,aVWAP_OB_bull_43,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,9.72,9.72,9.71,9.71,50836,,,#000000,,,,,,False,False,False,False,False,,9.715,9.715,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,50836.0,False,False,False,False
2022-01-04 00:00:00+00:00,9.72,9.72,9.71,9.71,6002,,,#000000,,,,,,False,False,False,False,False,,9.715,9.715,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,49077.80392156863,False,False,False,False
2022-01-05 00:00:00+00:00,9.72,9.72,9.72,9.72,4893,,,#000000,,,,,,False,False,False,False,False,,9.72,9.72,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,47345.06651287966,False,False,False,False
2022-01-06 00:00:00+00:00,9.72,9.72,9.72,9.72,2,,,#000000,,,,,,False,False,False,False,False,,9.72,9.72,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,45488.47566923733,False,False,False,False
2022-01-07 00:00:00+00:00,9.72,9.72,9.72,9.72,0,,,#000000,,,,,,False,False,False,False,False,,9.72,9.72,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,43704.613878286844,False,False,False,False
2022-01-10 00:00:00+00:00,9.72,9.72,9.71,9.71,2293,,,#000000,,,,,,False,False,False,False,False,,9.715,9.72,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,42080.62902031481,False,False,False,False
2022-01-11 00:00:00+00:00,9.72,9.72,9.71,9.71,12361,,,#000000,,,,,,False,False,False,False,False,,9.715,9.72,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,40915.15337245933,False,False,False,False
2022-01-12 00:00:00+00:00,9.73,9.73,9.72,9.72,2558,,,#000000,,,,100.0,,False,False,True,False,False,,9.725000000000001,9.725000000000001,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2558,100.31372549019608,False,False,False,False,39410.951279421715,False,False,False,False
2022-01-13 00:00:00+00:00,9.73,9.73,9.73,9.73,132,,,#000000,,,,100.0,50.0,False,False,True,False,True,,9.73,9.73,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2558,196.69357939254132,False,False,False,False,37870.600248856164,False,False,False,False
2022-01-14 00:00:00+00:00,9.73,9.73,9.73,9.73,2,,,#000000,,,,100.0,50.0,False,False,True,False,True,,9.73,9.73,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2558,289.2938311810691,False,False,False,False,36385.557101842205,False,False,False,False
2022-01-18 00:00:00+00:00,9.71,9.72,9.71,9.72,64623,,,#000000,,,,87.24203673564287,37.62477563357358,False,False,True,False,False,,9.715,9.73,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-62065,-2155.97259357113,False,False,False,False,37492.90780373075,False,False,False,False
2022-01-19 00:00:00+00:00,9.73,9.73,9.71,9.73,90667,,,#000000,,9.723333333333334,,82.2323285579701,33.07154981957558,False,False,True,False,False,,9.715,9.73,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,28602,-949.777589901674,False,False,False,False,39578.1663212315,False,False,False,False
