date,Close,High,Low,Open,Volume,aVWAP_OB_bull_80,aVWAP_OB_bear_131,aVWAP_OB_bear_114,aVWAP_OB_bear_106,aVWAP_OB_bear_24,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-04-22 00:00:00+00:00,73.049,77.5,72.8,77.1,17819,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,75.15,75.15,1,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,17819.0,False,False,False,False
2022-04-29 00:00:00+00:00,66.6185,74.95,66.1,74.95,9129,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,70.525,70.525,-1,0,,,False,False,False,False,,,False,False,False,False,-9129,-676.2222222222222,False,False,False,False,17175.296296296296,False,False,False,False
2022-05-06 00:00:00+00:00,63.8845,67.65,59.65,67.65,12936,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,63.650000000000006,70.525,1,0,,,False,False,False,False,,,False,False,False,False,-22065,-2260.5761316872427,False,False,False,False,16861.274348422496,False,False,False,False
2022-05-13 00:00:00+00:00,61.7075,67.6,57.55,67.6,5720,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,62.574999999999996,70.525,-1,0,,,False,False,False,False,,,False,False,False,False,-27785,-4151.274196006706,False,False,False,False,16035.994767057868,False,False,False,False
2022-05-20 00:00:00+00:00,62.6675,63.95,59.7865,62.8,2956,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,2.0122522686886524,-48.082072056406126,False,False,False,True,True,,61.86825,70.525,1,0,,,False,False,False,False,,,False,False,False,False,-24829,-5682.957588895098,False,False,False,False,15067.106265794322,False,False,False,False
2022-05-27 00:00:00+00:00,59.5785,64.45,58.4505,62.4,1829,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,3.0986037700173963,-47.11738652552325,False,False,False,True,True,,61.45025,70.525,-1,0,,,False,False,False,False,,,False,False,False,False,-26658,-7236.664434162127,False,False,False,False,14086.50580166141,False,False,False,False
2022-06-03 00:00:00+00:00,58.854,60.125,58.35,59.45,462,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,3.857033825191242,-46.48428353944048,False,False,False,True,True,,59.2375,59.2375,-1,0,,,False,False,False,False,,,False,False,False,False,-27120,-8709.504105705673,False,False,False,False,13077.283149686491,False,False,False,False
2022-06-10 00:00:00+00:00,55.131,59.05,53.5005,59.05,3243,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,4.1040000971477895,-46.339514264932376,False,False,False,True,True,,59.2375,37.867437499999994,-1,0,,,False,False,False,False,,,False,False,False,False,-30363,-10313.46676454229,False,False,False,False,12348.817731191195,False,False,False,False
2022-06-17 00:00:00+00:00,49.199,54.45,48.95,54.45,676,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,3.978064058971239,-46.339514264932376,False,False,False,True,False,,59.2375,32.7368125,-1,0,,,False,False,False,False,,,False,False,False,False,-31039,-11848.691448650268,False,False,False,False,11484.164565917774,False,False,False,False
2022-06-24 00:00:00+00:00,50.673,50.673,47.5,47.5,1185,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,5.4068742623355766,-45.231817019213395,True,False,False,True,True,,59.2375,32.2521875,-1,0,,,False,False,False,False,,,False,False,False,False,-29854,-13182.418008009507,False,False,False,False,10721.263486960901,False,False,False,False
