date,Close,High,Low,Open,Volume,aVWAP_OB_bull_816,aVWAP_OB_bull_573,aVWAP_OB_bear_735,aVWAP_OB_bear_389,aVWAP_OB_bear_230,aVWAP_OB_bear_149,aVWAP_OB_bear_59,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,265.0915337423,281.1849488753,264.0919427403,274.0378732106,2681081,,,,,,,,#000000,,,,,,False,False,False,False,False,,272.6384458078,272.6384458078,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2681081.0,False,False,False,False
2022-01-04 00:00:00+00:00,254.7957464213,266.5909202454,246.2992229039,266.5909202454,3334792,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,256.44507157465,256.44507157465,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3334792,-130776.15686274509,False,False,False,False,2706716.725490196,False,False,False,False
2022-01-05 00:00:00+00:00,227.4069529652,252.8965235174,223.5265406953,251.5970552147,4517206,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,238.21153210635,238.21153210635,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7851998,-433569.17031910806,False,False,False,False,2777716.304882738,False,False,False,False
2022-01-06 00:00:00+00:00,224.5081390593,237.6027811861,207.9149284254,229.5060940695,5911272,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,222.75885480575,238.21153210635,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13763270,-956302.536188947,False,False,False,False,2900600.84194616,False,False,False,False
2022-01-07 00:00:00+00:00,229.8059713701,242.9006134969,224.3082208589,236.0034355828,4948099,,,,,,,,#000000,,,,2.3278019539078616,-47.742032104709374,False,False,False,True,True,,222.75885480575,238.21153210635,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8815171,-1264493.4563384,False,False,False,False,2980894.8873600364,False,False,False,False
2022-01-10 00:00:00+00:00,227.7068302658,228.6094609407,212.4130879346,224.1083026585,3778400,,,,,,,,#000000,,,,4.114056100613717,-46.06523282929848,False,False,False,True,True,,220.51127443765,238.21153210635,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12593571,-1708771.0070702275,False,False,False,False,3012169.597659643,False,False,False,False
2022-01-11 00:00:00+00:00,227.8067893661,237.4028629857,220.8096523517,223.9083844581,3587075,,,,,,,,#000000,,,,5.616237415932717,-44.69498250988885,False,False,False,True,True,,220.51127443765,238.21153210635,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9006496,-1994956.300910611,False,False,False,False,3034714.907555343,False,False,False,False
2022-01-12 00:00:00+00:00,227.1070756646,233.5024588957,220.4098159509,228.5065030675,2747209,,,,,,,,#000000,,,,6.803710427108818,-43.64688559647641,False,False,False,True,True,,220.51127443765,238.21153210635,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11753705,-2377652.328325881,False,False,False,False,3023440.1660825848,False,False,False,False
2022-01-13 00:00:00+00:00,206.5155010225,231.4053169734,205.1660531697,226.4073619632,4100498,,,,,,,,#000000,,,,6.969794801455217,-43.59417243231311,False,False,False,True,True,,218.28568507155,238.21153210635,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15854203,-2906144.511528788,False,False,False,False,3065677.7281969935,False,False,False,False
2022-01-14 00:00:00+00:00,205.6158691207,210.7137832311,195.020204499,203.2168507157,5699664,,,,,,,,#000000,,,,7.082473512806705,-43.5710650902128,False,False,False,True,False,,202.86699386505,238.21153210635,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21553867,-3637427.7463707966,False,False,False,False,3168971.307483386,False,False,False,False
2022-01-18 00:00:00+00:00,188.3229447853,198.7976588957,177.927198364,197.8190593047,5547246,,,,,,,,#000000,,,,6.82792172753431,-43.5710650902128,False,False,False,True,False,,188.36242862985,238.21153210635,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27101113,-4557572.266120962,False,False,False,False,3262236.9816997238,False,False,False,False
2022-01-19 00:00:00+00:00,183.1250715746,194.1205725971,180.2262576687,185.2242126789,3481597,,,,,,,,#000000,,,,6.543364571240739,-43.5710650902128,False,False,False,True,False,,187.1734151329,187.1734151329,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-30582710,-5578165.902743669,False,False,False,False,3270839.335358558,False,False,False,False
