date,Close,High,Low,Open,Volume,aVWAP_OB_bull_137,aVWAP_OB_bear_158,aVWAP_OB_bear_92,aVWAP_OB_bear_40,aVWAP_OB_bear_22,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,302.2970650387,305.1026062456,224.3030194881,255.3042498239,271285,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,264.70281286684997,264.70281286684997,1,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,271285.0,False,False,False,False
2022-01-07 00:00:00+00:00,68.735759568,361.6342615637,65.23023583,286.7122836347,2742975,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,213.43224869685002,264.70281286684997,-1,0,,,False,False,False,False,,,False,False,False,False,-2742975,-203183.3333333333,False,False,False,False,454373.1481481481,False,False,False,False
2022-01-14 00:00:00+00:00,60.0385818267,78.2745996713,59.1267809345,67.1927119042,456473,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,68.7006903029,68.7006903029,-1,0,,,False,False,False,False,,,False,False,False,False,-3199448,-425128.86419753084,False,False,False,False,454528.6927297668,False,False,False,False
2022-01-21 00:00:00+00:00,54.2872223527,60.1788588871,50.9205729044,60.0385818267,121522,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,55.54971589575,55.54971589575,-1,0,,,False,False,False,False,,,False,False,False,False,-3320970,-639635.6149977137,False,False,False,False,429861.5303053396,False,False,False,False
2022-01-28 00:00:00+00:00,43.3456116459,52.690869406,42.3636722235,52.1830664475,73851,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,47.52727081475,47.52727081475,-1,0,,,False,False,False,False,,,False,False,False,False,-3394821,-843723.4212941794,False,False,False,False,403490.3799123515,False,False,False,False
2022-02-04 00:00:00+00:00,43.9067198873,50.019994177,40.9609016201,42.7845034046,56386,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.06231766889030155,-49.940603471838934,False,False,False,True,True,,45.49044789855,45.49044789855,-1,0,,,False,False,False,False,,,False,False,False,False,-3338435,-1028516.8715686846,False,False,False,False,377778.9443632884,False,False,False,False
2022-02-11 00:00:00+00:00,43.766442827,46.1511528528,42.0831181028,45.5900446114,59940,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.1107401921045563,-49.89664160994727,False,False,False,True,True,,44.117135477800005,44.117135477800005,-1,0,,,False,False,False,False,,,False,False,False,False,-3398375,-1204061.9181191525,False,False,False,False,354235.3188548967,False,False,False,False
2022-02-18 00:00:00+00:00,43.0650575252,48.9566940596,42.7845034046,42.9247804649,40606,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.1481527661294741,-49.86428260349782,False,False,False,True,True,,44.117135477800005,-117.94162075607497,-1,0,,,False,False,False,False,,,False,False,False,False,-3438981,-1369611.479739956,False,False,False,False,331003.5174582377,False,False,False,False
2022-02-25 00:00:00+00:00,40.3997933787,42.9247804649,35.9109274478,42.0831181028,22826,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.1762563592472123,-49.84117120133202,False,False,False,True,True,,44.117135477800005,-96.7773192767875,-1,1,,,False,False,False,False,,,False,False,False,False,-3461807,-1524588.9256851445,False,False,False,False,308175.553202072,False,False,False,False
2022-03-04 00:00:00+00:00,33.2456633012,41.3817328011,32.8248321202,40.5400704391,28656,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.1954230444342384,-49.826452795076655,True,False,False,True,True,,44.117135477800005,8.850781122312505,-1,0,,,False,False,False,False,,,False,False,False,False,-3490463,-1670209.2274862449,False,False,False,False,287470.4011130296,False,False,False,False
2022-03-11 00:00:00+00:00,23.9873773186,32.9651091806,23.9873773186,31.9831697582,47335,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.2069685399249363,-49.818512398251784,True,False,False,True,True,,44.117135477800005,3.932316694087504,-1,0,,,False,False,False,False,,,False,False,False,False,-3537798,-1808549.1365613379,False,False,False,False,269682.5936231756,False,False,False,False
