date,Close,High,Low,Open,Volume,aVWAP_OB_bull_171,aVWAP_OB_bull_122,aVWAP_OB_bull_109,aVWAP_OB_bull_62,aVWAP_OB_bear_141,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,86.0308280366,87.67007476,85.9222032537,87.0380760232,2624485,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,86.79613900685001,86.79613900685001,1,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2624485.0,False,False,False,False
2022-01-07 00:00:00+00:00,79.5528409852,86.2480776023,79.4254537398,85.704953688,3298572,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,82.83676567105,82.83676567105,-1,0,,,False,False,False,False,,,False,False,False,False,-3298572,-244338.66666666666,False,False,False,False,2674417.3703703703,False,False,False,False
2022-01-14 00:00:00+00:00,77.6074698737,78.7825925248,75.8398484069,76.5113470647,5070201,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,77.31122046585,82.83676567105,1,0,,,False,False,False,False,,,False,False,False,False,-8368773,-846148.6172839506,False,False,False,False,2851882.8244170095,False,False,False,False
2022-01-21 00:00:00+00:00,76.2052226766,78.7787412825,75.7114736635,77.656844775,3563254,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,77.24510747299999,82.83676567105,-1,0,,,False,False,False,False,,,False,False,False,False,-11932027,-1667324.7937814356,False,False,False,False,2904576.985571305,False,False,False,False
2022-01-28 00:00:00+00:00,74.2401016046,75.2670995517,72.1466057892,74.1117268612,4736776,,,,,,0.0,0.0,0.0,0.0,73.88460231516666,#000000,,73.88460231516666,,0.0,-50.0,False,False,False,True,True,,73.70685267044999,82.83676567105,1,0,,,False,False,False,False,,,False,False,False,False,-16668803,-2778545.4016494774,False,False,False,False,3040295.4310845416,False,False,False,False
2022-02-04 00:00:00+00:00,76.2644725581,78.6048428801,74.2697265454,74.2697265454,3712126,,,,,,0.0,0.0,0.0,0.0,74.98084478553113,#000000,,74.98084478553113,,3.8856835847649682,-46.29645783327089,False,False,False,True,True,,73.70685267044999,82.83676567105,-1,0,,,False,False,False,False,,,False,False,False,False,-12956677,-3532481.0756013677,False,False,False,False,3090060.6584116123,False,False,False,False
2022-02-11 00:00:00+00:00,75.5435989991,78.3875933143,74.5561009729,75.691723703,4157302,,,,,,0.0,0.0,0.0,0.0,75.37051094747244,#000000,,75.37051094747244,,6.664867585191118,-43.78415414639161,False,False,False,True,True,,73.70685267044999,82.83676567105,-1,0,,,False,False,False,False,,,False,False,False,False,-17113979,-4538517.958890155,False,False,False,False,3169115.5726033445,False,False,False,False
2022-02-18 00:00:00+00:00,75.2572245715,79.6515907878,74.7832255189,75.4547241767,4882442,,,,,,0.0,0.0,0.0,0.0,76.13386202253758,#000000,,76.13386202253758,,8.732002742923862,-42.01123022468093,False,False,False,True,True,,73.70685267044999,82.83676567105,-1,0,,,False,False,False,False,,,False,False,False,False,-21996421,-5831695.961935329,False,False,False,False,3296028.641299393,False,False,False,False
2022-02-25 00:00:00+00:00,76.4718471436,76.4915971041,71.80098148,74.82272544,3265831,,,,,,0.0,0.0,0.0,0.0,75.74315250814509,#000000,,75.74315250814509,,12.308225010578592,-38.81628583828308,False,False,False,True,True,,73.70685267044999,82.83676567105,-1,1,,,False,False,False,False,,,False,False,False,False,-18730590,-6787169.594384564,False,False,False,False,3293791.778980919,False,False,False,False
2022-03-04 00:00:00+00:00,74.5561009729,76.774811538,73.2822285192,76.0373480121,3483583,,,,,,0.0,0.0,0.0,0.0,75.5372313801654,#000000,,75.5372313801654,,14.255610409823621,-37.2345295254515,True,False,False,True,True,,73.70685267044999,82.83676567105,-1,1,,,False,False,False,False,,,False,False,False,False,-22214173,-7929910.587393114,False,False,False,False,3307850.3879452953,False,False,False,False
2022-03-11 00:00:00+00:00,72.0972308879,74.1117268612,70.0531099738,73.6673527494,3847175,,,,,,0.0,0.0,0.0,0.0,73.94175837619026,#000000,,73.94175837619026,,14.964208222974996,-36.81579856758822,True,False,False,True,True,,73.70685267044999,82.83676567105,-1,1,,,False,False,False,False,,,False,False,False,False,-26061348,-9272980.025363995,False,False,False,False,3347800.3592086066,False,False,False,False
2022-03-18 00:00:00+00:00,77.3507203869,77.4790951303,70.6061088684,72.6798547233,3971716,,,,,,0.0,0.0,0.0,0.0,74.49364200033405,#000000,,74.49364200033405,,20.70100833790943,-31.542027663018736,True,False,False,True,True,,73.70685267044999,82.83676567105,1,1,,,False,False,False,False,,,False,False,False,False,-22089632,-10222361.65311481,False,False,False,False,3394016.332600562,False,False,False,False
