date,Close,High,Low,Open,Volume,aVWAP_OB_bull_754,aVWAP_OB_bull_604,aVWAP_OB_bull_491,aVWAP_OB_bull_456,aVWAP_OB_bull_115,aVWAP_OB_bear_427,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,130.7766860223,133.0106007693,128.9037094658,132.7959888722,723072,,,,,,,#000000,,,,,,False,False,False,False,False,,130.95715511755,130.95715511755,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,723072.0,False,False,False,False
2022-01-04 00:00:00+00:00,130.6888902462,132.1033777498,130.6010944701,131.9472963701,1111340,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,130.95715511755,131.35223610995,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1111340,-43581.96078431373,False,False,False,False,738298.1960784314,False,False,False,False
2022-01-05 00:00:00+00:00,126.9819574781,130.5230537803,126.9624473057,130.1426054172,1191371,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,128.742750543,128.742750543,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2302711,-132175.25643983082,False,False,False,False,756065.7570165322,False,False,False,False
2022-01-06 00:00:00+00:00,127.9574661013,128.8354238622,126.2308158383,126.2698361832,802195,,,,,,,#000000,,,,3.8843601243387154,-46.232170679391444,False,False,False,True,True,,127.53311985025,128.742750543,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1500516,-185835.67775591588,False,False,False,False,757874.7469374526,False,False,False,False
2022-01-07 00:00:00+00:00,127.0502430818,128.4159551542,126.5332235115,127.8501601528,908306,,,,,,,#000000,,,,6.389062672069637,-43.89583385107658,False,False,False,True,True,,127.47458933285,128.742750543,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2408822,-273011.61196156626,False,False,False,False,763774.0117634349,False,False,False,False
2022-01-10 00:00:00+00:00,124.7773079898,126.5332235115,123.7042485043,126.4064073905,1324416,,,,,,,#000000,,,,7.4289973516677446,-43.02062447936196,False,False,False,True,True,,125.1187360079,125.1187360079,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3733238,-408706.7644336617,False,False,False,False,785759.9720864375,False,False,False,False
2022-01-11 00:00:00+00:00,125.7040411818,126.0357141137,123.5481671246,125.1967766977,1220679,,,,,,,#000000,,,,10.184177882586184,-40.477030645446405,False,False,False,True,True,,124.79194061915,125.1187360079,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2512559,-491210.77367155737,False,False,False,False,802815.6202399107,False,False,False,False
2022-01-12 00:00:00+00:00,125.879632734,126.8258760984,124.406614713,126.2795912695,1721618,,,,,,,#000000,,,,12.766085251370711,-38.13735363701742,False,False,False,True,True,,125.6162454057,125.6162454057,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-790941,-502964.9001942414,False,False,False,False,838847.0861128554,False,False,False,False
2022-01-13 00:00:00+00:00,124.5236757478,126.3283667006,124.3383291093,126.2991014419,988448,,,,,,,#000000,,,,14.17145572294704,-36.96131648259249,False,False,False,True,True,,125.33334790495,125.6162454057,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1779389,-553020.7472454476,False,False,False,False,844713.7886182335,False,False,False,False
2022-01-14 00:00:00+00:00,122.5433932427,123.4993916934,121.7824965166,123.0409026405,1531737,,,,,,,#000000,,,,14.585914536827353,-36.73372369796582,False,False,False,True,True,,122.640944105,122.640944105,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3311126,-661181.7375495477,False,False,False,False,871655.8753390871,False,False,False,False
