date,Close,High,Low,Open,Volume,aVWAP_OB_bull_109,aVWAP_OB_bull_81,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,47.0,47.0,40.25,40.25,933,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,43.625,43.625,1,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,933.0,False,False,False,False
2022-01-07 00:00:00+00:00,47.0,47.0,47.0,47.0,41164,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,47.0,47.0,1,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3913.074074074074,False,False,False,False
2022-01-14 00:00:00+00:00,48.0,48.25,47.0,47.0,52197,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,47.625,47.625,1,0,,,False,False,False,False,,,False,False,False,False,52197,3866.4444444444443,False,False,False,False,7489.661179698216,False,False,False,False
2022-01-21 00:00:00+00:00,49.5,50.0,47.0,48.0,1235330,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,48.5,48.5,1,0,,,False,False,False,False,,,False,False,False,False,1287527,98952.41152263375,False,False,False,False,98440.79738860946,False,False,False,False
2022-01-28 00:00:00+00:00,49.5,49.5,49.5,49.5,2054,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,49.5,49.5,1,0,,,False,False,False,False,,,False,False,False,False,1287527,186994.97363206826,False,False,False,False,91301.03461908283,False,False,False,False
2022-02-04 00:00:00+00:00,46.55,49.5,46.55,49.5,1824545,,,0.0,0.0,0.0,0.0,47.53333333333334,#000000,,47.53333333333334,,87.06915445420142,37.67528783916073,False,False,True,False,False,,48.025,49.5,-1,0,,,False,False,False,False,,,False,False,False,False,-537018,133364.3829926558,False,False,False,False,219689.47649915074,False,False,False,False
2022-02-11 00:00:00+00:00,47.5,49.0,46.7,46.7,313237,,,0.0,0.0,0.0,0.0,47.562638192294635,#000000,,47.562638192294635,,79.17390356129398,30.604726870577807,False,False,True,False,False,,47.85,47.85,-1,0,,,False,False,False,False,,,False,False,False,False,-223781,106909.16943764426,False,False,False,False,226618.92268439883,False,False,False,False
2022-02-18 00:00:00+00:00,50.8,50.8,47.5,47.5,890800,,,0.0,0.0,0.0,0.0,48.191302662434104,#000000,,48.191302662434104,,77.16394306108245,29.298029877917088,False,False,True,False,False,,47.85,47.85,1,1,,,False,False,False,False,,,False,False,False,False,667019,148398.78651633728,False,False,False,False,275817.521004073,False,False,False,False
2022-02-25 00:00:00+00:00,50.5,50.8,49.5,50.8,832390,,,0.0,0.0,0.0,0.0,48.63873202568335,#000000,,48.63873202568335,,75.03934370472437,27.778112132843845,False,False,True,False,False,,55.49375,47.85,1,0,,,False,False,False,False,,,False,False,False,False,-165371,125156.5801077197,False,False,False,False,317045.1120408083,False,False,False,False
2022-03-04 00:00:00+00:00,53.75,53.75,50.0,50.0,1025189,,,0.0,0.0,0.0,0.0,49.44888327803089,#000000,,49.44888327803089,,75.50928362337277,27.778112132843845,False,False,True,False,True,,58.625,47.85,1,0,,,False,False,False,False,,,False,False,False,False,859818,179575.9445441849,False,False,False,False,369500.21485260024,False,False,False,False
2022-03-11 00:00:00+00:00,55.25,55.4,54.0,54.2,306257,,,0.0,0.0,0.0,0.0,49.76941571024008,#000000,,49.76941571024008,,76.52075008053299,27.778112132843845,False,True,True,False,True,,61.6,47.85,1,0,,,False,False,False,False,,,False,False,False,False,1166075,252649.94865202304,False,False,False,False,364815.53227092617,False,False,False,False
