date,Close,High,Low,Open,Volume,aVWAP_OB_bear_765,aVWAP_OB_bear_731,aVWAP_OB_bear_635,aVWAP_OB_bear_558,aVWAP_OB_bear_386,aVWAP_OB_bear_295,aVWAP_OB_bear_149,aVWAP_OB_bear_44,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,23.8,24.7,23.8,24.0,116066,,,,,,,,,#000000,,,,,,False,False,False,False,False,,24.25,24.25,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,116066.0,False,False,False,False
2022-01-04 00:00:00+00:00,23.9,24.148,23.2,23.8,87643,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,23.674,24.25,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,87643,3436.9803921568628,False,False,False,False,114951.37254901962,False,False,False,False
2022-01-05 00:00:00+00:00,22.7,24.771,22.6,23.9,181455,,,,,,,,,#000000,,,,83.14855875831482,-17.40576496674072,False,False,True,False,True,,23.674,24.25,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-93812,-376.705113417916,False,False,False,False,117559.35793925414,False,False,False,False
2022-01-06 00:00:00+00:00,22.9,23.6,21.9,22.9,139994,,,,,,,,,#000000,,,,71.72348982255764,-17.40576496674072,False,False,False,False,True,,22.75,24.25,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,46182,1449.1264596572964,False,False,False,False,118439.14782398927,False,False,False,False
2022-01-07 00:00:00+00:00,23.3,24.2,22.7,22.8,173890,,,,,,,,,#000000,,,,65.68461694920383,-17.40576496674072,False,False,False,False,True,,22.75,24.25,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,220072,10022.572480847206,False,False,False,False,120613.69104657792,False,False,False,False
2022-01-10 00:00:00+00:00,22.4,23.3,22.2,23.1,140528,,,,,,,,,#000000,,,,58.281514231983145,-17.40576496674072,False,False,False,True,True,,22.75,24.25,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,79544,12748.902971794376,False,False,False,False,121394.64433886898,False,False,False,False
2022-01-11 00:00:00+00:00,22.6,22.9,22.0,22.4,114468,,,,,,,,,#000000,,,,53.26399002392592,-17.40576496674072,False,False,False,True,True,,22.45,24.25,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,194012,19857.259717998517,False,False,False,False,121123.01122754079,False,False,False,False
2022-01-12 00:00:00+00:00,22.0,23.1,22.0,23.1,102333,,,,,,,,,#000000,,,,48.07418594949187,-17.40576496674072,False,False,False,True,True,,22.45,24.25,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,91679,22673.79855258681,False,False,False,False,120386.14804214703,False,False,False,False
2022-01-13 00:00:00+00:00,21.4,22.6,21.4,22.1,158923,,,,,,,,,#000000,,,,43.06274275158455,-17.40576496674072,False,False,False,True,True,,22.0,22.0,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-67244,19147.610374053995,False,False,False,False,121897.39713853342,False,False,False,False
2022-01-14 00:00:00+00:00,21.3,21.4,20.3,21.1,176348,,,,,,,,,#000000,,,,38.85401532479165,-17.40576496674072,False,False,False,True,True,,20.85,22.0,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-243592,8844.096241738152,False,False,False,False,124032.71489780663,False,False,False,False
