date,Close,High,Low,Open,Volume,aVWAP_OB_bear_594,aVWAP_OB_bear_514,aVWAP_OB_bear_278,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-06-28 00:00:00+00:00,10.8,12.04,10.1,11.75,5212075,,,,#000000,,,,,,False,False,False,False,False,,11.07,11.07,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,5212075.0,False,False,False,False
2022-06-29 00:00:00+00:00,9.71,10.69,8.36,10.38,1518037,,,,#000000,,,,0.0,,False,False,False,True,False,,9.524999999999999,11.07,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1518037,-59530.862745098035,False,False,False,False,5067210.764705882,False,False,False,False
2022-06-30 00:00:00+00:00,8.7,9.37,8.3,9.37,735632,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,8.835,11.07,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2253669,-145575.4955786236,False,False,False,False,4897344.930795847,False,False,False,False
2022-07-01 00:00:00+00:00,9.01,9.3409,8.3602,8.5,113354,,,,#000000,,,,2.510490287020536,-47.56482442159008,False,False,False,True,True,,8.835,11.07,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2140315,-223800.5741833835,False,False,False,False,4709737.443313657,False,False,False,False
2022-07-05 00:00:00+00:00,8.7,9.5,8.5,9.5,98940,,,,#000000,,,,4.245174204185308,-45.94243278882875,False,False,False,True,True,,8.835,11.07,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2239255,-302838.0026467802,False,False,False,False,4528921.857301357,False,False,False,False
2022-07-06 00:00:00+00:00,8.87,9.5299,8.7633,9.1,218827,,,,#000000,,,,6.761171740989537,-43.590995858565286,False,False,False,True,True,,8.835,11.07,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2020428,-370194.4731312202,False,False,False,False,4359898.529564049,False,False,False,False
2022-07-07 00:00:00+00:00,9.12,10.47,8.86,10.47,174984,,,,#000000,,,,10.252797133552573,-40.333891643081614,False,False,False,True,True,,8.835,11.07,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1845444,-428047.3957535253,False,False,False,False,4195784.234287028,False,False,False,False
2022-07-08 00:00:00+00:00,8.97,9.49,8.85,9.27,356478,,,,#000000,,,,12.838418750178903,-38.00993394062202,False,False,False,True,True,,8.835,11.07,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2201922,-497611.10572397534,False,False,False,False,4045223.2054914585,False,False,False,False
2022-07-11 00:00:00+00:00,8.81,9.66,8.75,9.15,634837,,,,#000000,,,,14.68363481105088,-36.42353860514325,False,False,False,True,True,,8.835,11.07,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2836759,-589342.3956955841,False,False,False,False,3911482.56998199,False,False,False,False
2022-07-12 00:00:00+00:00,8.05,8.8,8.0,8.74,112734,,,,#000000,,,,15.217627595492539,-36.10413865764139,False,False,False,True,True,,8.4,8.4,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2949493,-681897.3213545809,False,False,False,False,3762512.0378258335,False,False,False,False
