date,Close,High,Low,Open,Volume,aVWAP_OB_bull_171,aVWAP_OB_bull_91,aVWAP_OB_bull_61,aVWAP_OB_bear_154,aVWAP_OB_bear_13,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,326.5487639663,334.2969179162,325.6846214831,325.7137498814,84417803,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,329.99076969965,329.99076969965,1,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,84417803.0,False,False,False,False
2022-01-07 00:00:00+00:00,304.9160734894,328.1799542715,301.0808343789,325.6069457543,174012812,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,314.6303943252,314.6303943252,-1,0,,,False,False,False,False,,,False,False,False,False,-174012812,-12889837.925925925,False,False,False,False,91054470.33333333,False,False,False,False
2022-01-14 00:00:00+00:00,301.187638506,314.0138432277,294.9250328698,300.4934116797,193141391,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,304.46943804875,304.46943804875,-1,0,,,False,False,False,False,,,False,False,False,False,-367154203,-39131642.746227704,False,False,False,False,98616464.45679012,False,False,False,False
2022-01-21 00:00:00+00:00,287.4293250385,304.7891707675,287.0215274622,295.235735785,180568678,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,295.90534911485,295.90534911485,-1,0,,,False,False,False,False,,,False,False,False,False,-547722881,-76805067.80206269,False,False,False,False,104686998.79332419,False,False,False,False
2022-01-28 00:00:00+00:00,299.3040020821,299.5370292685,268.0298117653,283.7105995211,352537899,,,,,,0.0,0.0,0.0,0.0,288.95694770529997,#000000,,288.95694770529997,,5.792999227534617,-44.47854761125607,False,False,False,True,True,,283.78342051690004,295.90534911485,1,0,,,False,False,False,False,,,False,False,False,False,-195184982,-85573950.33524323,False,False,False,False,123046324.73455943,False,False,False,False
2022-02-04 00:00:00+00:00,297.0514059462,305.9646958285,291.2451452168,299.9739552432,202857381,,,,,,0.0,0.0,0.0,0.0,292.2917171297817,#000000,,292.2917171297817,,10.007175981089524,-40.665570522117065,False,False,False,True,True,,283.78342051690004,298.60492052265,-1,0,,,False,False,False,False,,,False,False,False,False,-398042363,-108719758.68078075,False,False,False,False,128958254.82829578,False,False,False,False
2022-02-11 00:00:00+00:00,286.4680878943,302.8673761418,285.6719116739,297.2747236666,176800964,,,,,,0.0,0.0,0.0,0.0,292.1413819596913,#000000,,292.1413819596913,,12.17300762126747,-38.897919069028276,False,False,False,True,True,,283.78342051690004,298.60492052265,-1,0,,,False,False,False,False,,,False,False,False,False,-574843327,-143247430.40813032,False,False,False,False,132502159.21138498,False,False,False,False
2022-02-18 00:00:00+00:00,280.1433890066,292.7334471935,278.5623345589,285.2349856993,160446684,,,,,,0.0,0.0,0.0,0.0,290.6444204154599,#000000,,290.6444204154599,,13.354587166315953,-38.05984954135821,False,False,False,True,True,,283.78342051690004,298.60492052265,-1,0,,,False,False,False,False,,,False,False,False,False,-735290011,-187102436.37789845,False,False,False,False,134572124.01054165,False,False,False,False
2022-02-25 00:00:00+00:00,289.2697217572,289.5810678639,264.177171476,277.2926262178,168916893,,,,,,0.0,0.0,0.0,0.0,289.111269732895,#000000,,289.111269732895,,17.03280438072008,-34.794948042377214,False,False,False,True,True,,283.78342051690004,298.60492052265,1,1,,,False,False,False,False,,,False,False,False,False,-566373118,-215196560.94249856,False,False,False,False,137116180.97272375,False,False,False,False
2022-03-04 00:00:00+00:00,282.0211952122,294.9323290716,279.3990772205,286.3508520076,157402366,,,,,,0.0,0.0,0.0,0.0,288.6386086197318,#000000,,288.6386086197318,,19.13918989487187,-33.07518556221123,True,False,False,True,True,,283.78342051690004,298.60492052265,-1,1,,,False,False,False,False,,,False,False,False,False,-723775484,-252869073.76157275,False,False,False,False,138618861.3451146,False,False,False,False
