date,Close,High,Low,Open,Volume,aVWAP_OB_bull_333,aVWAP_OB_bull_184,aVWAP_OB_bear_739,aVWAP_OB_bear_681,aVWAP_OB_bear_635,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,141.8066989481,145.4923520295,140.8493864594,144.6882095391,73992,,,,,,#000000,,,,,,False,False,False,False,False,,143.17086924445,143.17086924445,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,73992.0,False,False,False,False
2022-01-04 00:00:00+00:00,143.1277901825,144.8509526621,141.2323114549,141.9502958214,65763,,,,,,#000000,,,,100.0,,False,False,True,False,False,,143.0416320585,143.17086924445,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,65763,2578.9411764705883,False,False,False,False,73669.29411764706,False,False,False,False
2022-01-05 00:00:00+00:00,140.1122558432,144.3148576685,139.8825008459,143.1373633074,56125,,,,,,#000000,,,,87.15099990350505,-1.3960003859797894,False,False,True,False,True,,142.0986792572,143.17086924445,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9638,2855.767012687428,False,False,False,False,72981.2825836217,False,False,False,False
2022-01-06 00:00:00+00:00,138.6954333599,140.1984139671,138.0540339925,139.8346352214,77374,,,,,,#000000,,,,75.25419269499422,-1.3960003859797894,False,False,True,False,True,,139.1262239798,139.1262239798,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-67736,87.46242395458785,False,False,False,False,73153.54601171496,False,False,False,False
2022-01-07 00:00:00+00:00,140.2558527165,140.7632283355,139.1262239798,139.1262239798,60916,,,,,,#000000,,,,68.81931971121512,-1.3960003859797894,False,False,False,False,True,,139.1262239798,139.94472615765,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6820,-183.41845541618028,False,False,False,False,72673.64224654967,False,False,False,False
2022-01-10 00:00:00+00:00,138.1689114911,140.294145216,137.163733378,139.959085845,55271,,,,,,#000000,,,,61.767595578402265,-1.3960003859797894,False,False,False,True,True,,138.728939297,139.94472615765,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-62091,-2611.1667512822123,False,False,False,False,71991.18568786145,False,False,False,False
2022-01-11 00:00:00+00:00,139.7484770975,140.0835364685,136.7903815074,137.4605002495,59117,,,,,,#000000,,,,58.09128683897508,-1.3960003859797894,False,False,False,True,True,,138.43695898795,139.94472615765,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2974,-2625.39550613389,False,False,False,False,71486.3156608865,False,False,False,False
2022-01-12 00:00:00+00:00,140.2175602169,141.2610308296,137.4509271246,139.3176864776,90463,,,,,,#000000,,,,55.60470813625655,-1.3960003859797894,False,False,False,True,True,,139.3559789771,139.94472615765,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,87489,908.5023568517527,False,False,False,False,72230.49936045958,False,False,False,False
2022-01-13 00:00:00+00:00,142.2566358178,143.2618139309,139.1453702296,139.8250620966,79688,,,,,,#000000,,,,55.42699383223115,-1.3960003859797894,False,False,False,False,True,,141.20359208025,141.20359208025,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,167177,7428.835597759527,False,False,False,False,72522.95036593176,False,False,False,False
2022-01-14 00:00:00+00:00,140.3420108405,141.7205408241,138.8390302332,141.7205408241,58599,,,,,,#000000,,,,53.75160245412418,-1.3960003859797894,False,False,False,False,True,,140.27978552865,141.20359208025,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,108578,11395.469495886606,False,False,False,False,71976.91309667953,False,False,False,False
